startTime_ns,endTime_ns,written,confidence
239620287035,240340287035, Hello,0.6922356486320496
240340287035,240640287035, are,0.14596566557884216
240640287035,241040287035," here,",0.8504387736320496
241360287035,241380287035, this,0.9623604416847229
241380287035,241620287035, is,0.9948756098747253
241620287035,241860287035, an,0.9532352089881897
241860287035,242220287035, example,0.9949849843978882
242220287035,242540287035, of,0.9960357546806335
242540287035,242800287035, speech,0.9749865531921387
242800287035,243360287035," transcription,",0.967115581035614
244660287035,244900287035, thank,0.853857159614563
244900287035,246280287035," you,",0.993787944316864
246500287035,246580287035, thank,0.7899494767189026
246580287035,248980287035, you,0.9967401623725891
248980287035,249500287035, start,0.10979749262332916
249500287035,252440287035, second,0.7720128297805786
252440287035,254700287035, third,0.6188303828239441
254700287035,257080287035, done,0.8993109464645386
