sequence_id,decision,auto_start_s,auto_second_s,auto_done_s,auto_third_s,manual_start_s,manual_second_s,manual_done_s,manual_third_s,target_object_id,receiving_hand,annotation_confidence,missing_commands,status,next_action,notes
Angelina_10_20260715_153801,manual_fix,,16.256,19.968,22.624,0.000,,,,7,left,certain,START,partial_timestamps,fix_timestamps,
Angelina_1_20260715_152929,manual_fix,,29.632,34.624,36.704,0.000,,,,14,right,certain,START,partial_timestamps,fix_timestamps,
Angelina_2_20260715_153046,manual_fix,,26.496,30.816,33.248,0.000,,,,11,right,certain,START,partial_timestamps,fix_timestamps,
Angelina_3_20260715_153144,manual_fix,,25.312,29.184,31.104,0.000,,,,13,left,certain,START,partial_timestamps,fix_timestamps,
Angelina_4_20260715_153241,manual_fix,,18.08,21.92,23.808,0.000,,,,14,left,certain,START,partial_timestamps,fix_timestamps,
Angelina_5_20260715_153324,manual_fix,,21.152,26.528,29.152,0.000,,,,8,right,certain,START,partial_timestamps,fix_timestamps,
Angelina_6_20260715_153440,manual_fix,,21.408,25.12,27.2,0.000,,,,11,left,certain,START,partial_timestamps,fix_timestamps,
Angelina_7_20260715_153539,manual_fix,,17.056,20.032,21.92,0.000,,,,7,left,certain,START,partial_timestamps,fix_timestamps,
Angelina_8_20260715_153620,manual_fix,,19.616,23.552,25.632,0.000,,,,11,left,certain,START,partial_timestamps,fix_timestamps,
Angelina_9_20260715_153718,manual_fix,,12.576,16.0,17.952,0.000,,,,6,left,certain,START,partial_timestamps,fix_timestamps,
Atilla_1_20260616_184923,,0.0,25.152,30.016,33.952,,,,,8,right,certain,,valid_with_warnings,annotate_sequence,
Atilla_2_20260616_185042,,1.664,20.416,24.448,26.912,,,,,7,right,certain,,valid_with_warnings,annotate_sequence,
Atilla_3_20260616_185212,,0.896,18.912,23.136,25.536,,,,,11,right,certain,,valid_with_warnings,annotate_sequence,
Atilla_4_20260616_185327,,1.728,16.896,21.824,24.832,,,,,14,right,certain,,valid_with_warnings,annotate_sequence,
Atilla_5_20260616_185449,,1.728,22.976,27.392,30.688,,,,,11,right,certain,,valid_with_warnings,annotate_sequence,
Atilla_6_20260616_185613,,1.408,22.784,28.032,31.104,,,,,9,right,certain,,valid_with_warnings,annotate_sequence,
Atilla_7_20260616_185714,,1.44,21.344,26.656,29.92,,,,,14,right,certain,,valid_with_warnings,annotate_sequence,
Atilla_8_20260616_185812,,2.4,22.592,28.032,31.008,,,,,12,right,certain,,valid_with_warnings,annotate_sequence,
Berat_10_20260616_142950,,1.376,24.8,29.76,32.448,,,,,7,right,certain,,valid_with_warnings,annotate_sequence,
Berat_1_20260604_154611,,2.944,29.632,33.952,36.896,,,,,8,right,certain,,valid_with_warnings,annotate_sequence,
Berat_2_20260604_154801,exclude,1.152,24.64,29.6,31.904,,,,,8,right,certain,,missing_handover_hand_tracking,download_or_process_mps,
Berat_3_20260604_154928,,1.44,26.336,30.784,33.184,,,,,12,right,certain,,valid_with_warnings,annotate_sequence,
Berat_4_20260604_155100,,1.28,28.832,33.056,35.232,,,,,10,right,certain,,valid_with_warnings,annotate_sequence,
Berat_5_20260604_155234,,1.152,38.304,42.72,45.184,,,,,12,right,certain,,valid_with_warnings,annotate_sequence,
Berat_6_20260616_142129,,1.28,22.688,27.36,29.792,,,,,12,right,certain,,valid_with_warnings,annotate_sequence,
Berat_7_20260616_142358,,1.248,22.4,26.56,28.256,,,,,14,right,certain,,valid_with_warnings,annotate_sequence,
Berat_8_20260616_142539,,1.408,27.904,32.416,35.296,,,,,10,right,certain,,valid_with_warnings,annotate_sequence,
Berat_9_20260616_142847,,2.112,25.888,30.176,32.608,,,,,7,right,certain,,valid_with_warnings,annotate_sequence,
David_1_20260715_140439,manual_fix,,23.904,28.96,32.64,0.000,,,,14,right,certain,START,partial_timestamps,fix_timestamps,
David_2_20260715_140628,manual_fix,,18.432,25.248,31.104,0.000,,,,7,right,certain,START,partial_timestamps,fix_timestamps,
David_3_20260715_140810,manual_fix,,19.424,26.304,29.152,0.000,,,,8,right,certain,START,partial_timestamps,fix_timestamps,
David_4_20260715_140931,manual_fix,,19.072,23.168,27.744,0.000,,,,7,right,certain,START,partial_timestamps,fix_timestamps,
David_5_20260715_141027,manual_fix,,22.624,29.248,,0.000,,,31.299,7,left,certain,START;THIRD,partial_timestamps,fix_timestamps,
David_6_20260715_141130,manual_fix,,22.592,28.096,30.944,0.000,,,,14,left,certain,START,partial_timestamps,fix_timestamps,
Edu_10_20260616_150412,,1.152,19.968,25.472,27.68,,,,,8,right,certain,,valid_with_warnings,annotate_sequence,
Edu_1_20260604_170154,manual_fix,1.28,35.936,,39.104,,,38.195,,11,right,certain,DONE,partial_timestamps,fix_timestamps,
Edu_2_20260604_170420,manual_fix,0.864,17.856,,21.856,,,20.738,,8,right,certain,DONE,partial_timestamps,fix_timestamps,
Edu_3_20260604_170622,manual_fix,1.312,20.0,,24.768,,,23.694,,7,right,certain,DONE,partial_timestamps,fix_timestamps,
Edu_4_20260604_170837,manual_fix,0.896,24.896,,30.272,,,29.608,,11,right,certain,DONE,partial_timestamps,fix_timestamps,
Edu_5_20260604_170944,manual_fix,0.96,24.48,,29.376,,,28.296,,12,right,certain,DONE,partial_timestamps,fix_timestamps,
Edu_6_20260616_145740,manual_fix,1.152,18.784,,24.16,,,23.062,,12,right,certain,DONE,partial_timestamps,fix_timestamps,
Edu_7_20260616_145927,,0.704,18.272,22.848,24.384,,,,,10,right,certain,,valid_with_warnings,annotate_sequence,
Edu_8_20260616_150108,,0.96,14.272,19.456,21.376,,,,,12,right,certain,,valid_with_warnings,annotate_sequence,
Edu_9_20260616_150247,,1.92,17.568,23.008,24.32,,,,,14,right,certain,,valid_with_warnings,annotate_sequence,
Ermal_1_20260604_151723,manual_fix,0.896,22.72,25.888,,,,,27.572,8,right,certain,THIRD,partial_timestamps,fix_timestamps,
Ermal_2_20260604_151912,manual_fix,2.816,31.488,35.136,,,,,36.104,10,right,certain,THIRD,partial_timestamps,fix_timestamps,
Ermal_3_20260604_152032,manual_fix,2.336,20.256,25.44,,,,,26.028,10,right,certain,THIRD,partial_timestamps,fix_timestamps,
Ermal_4_20260604_152214,manual_fix,1.632,21.76,26.112,,,,,28.129,7,right,certain,THIRD,partial_timestamps,fix_timestamps,
Ermal_5_20260616_153530,,1.28,16.48,20.224,22.176,,,,,14,right,certain,,valid_with_warnings,annotate_sequence,
Ermal_6_20260616_153648,,1.696,26.24,30.912,35.264,,,,,8,right,certain,,valid_with_warnings,annotate_sequence,
Ermal_7_20260616_153921,,1.568,34.816,42.752,46.24,,,,,13,right,certain,,valid_with_warnings,annotate_sequence,
Ermal_8_20260616_154054,,2.304,28.512,34.048,36.96,,,,,7,right,certain,,valid_with_warnings,annotate_sequence,
Ermal_9_20260616_154205,,1.6,26.048,31.872,36.16,,,,,12,right,certain,,valid_with_warnings,annotate_sequence,
Felix_1_20260604_171928,exclude,0.0,0.384,,,0.000,,,,,,,DONE;THIRD,missing_slam,download_or_process_mps,
Felix_1_20260604_171946,,1.472,23.04,27.712,29.344,,,,,14,right,certain,,valid_with_warnings,annotate_sequence,
Felix_2_20260604_172102,,1.568,21.472,25.984,27.616,,,,,9,right,certain,,valid_with_warnings,annotate_sequence,
Felix_3_20260604_172212,,1.792,23.04,27.296,28.736,,,,,13,right,certain,,valid_with_warnings,annotate_sequence,
Felix_4_20260604_172358,accept_auto,1.12,23.232,27.776,29.28,,,,,7,right,certain,,valid_with_warnings,convert_mp4,
Florian_10_20260715_151601,manual_fix,,27.936,33.28,35.936,0.000,,,,6,left,certain,START,partial_timestamps,fix_timestamps,
Florian_1_20260715_150317,manual_fix,,33.856,40.288,43.04,0.000,,,,7,right,certain,START,partial_timestamps,fix_timestamps,
Florian_2_20260715_150637,manual_fix,,34.176,40.896,44.736,0.000,,,,7,right,certain,START,partial_timestamps,fix_timestamps,
Florian_3_20260715_150741,manual_fix,,36.128,42.08,45.12,0.000,,,,11,right,certain,START,partial_timestamps,fix_timestamps,
Florian_4_20260715_150849,manual_fix,,38.912,45.344,48.0,0.000,,,,10,right,certain,START,partial_timestamps,fix_timestamps,
Florian_5_20260715_150959,manual_fix,,37.344,,46.976,0.000,,44.239,,11,right,certain,START;DONE,partial_timestamps,fix_timestamps,
Florian_6_20260715_151126,manual_fix,,36.032,41.952,44.448,0.000,,,,12,left,certain,START,partial_timestamps,fix_timestamps,
Florian_7_20260715_151245,manual_fix,,32.576,38.816,42.464,0.000,,,,14,left,certain,START,partial_timestamps,fix_timestamps,
Florian_8_20260715_151356,manual_fix,,28.0,34.528,37.568,0.000,,,,14,left,certain,START,partial_timestamps,fix_timestamps,
Florian_9_20260715_151452,manual_fix,,35.36,41.312,44.768,0.000,,,,11,left,certain,START,partial_timestamps,fix_timestamps,
