trial_index,trial_tag,config,config_sha256,learning_rate,weight_decay,dropout,d_model,nhead,num_layers,dim_feedforward,batch_size,orientation_loss_weight,receiving_hand_loss_weight
0,trial_000,Training/configs/hyperparameter_search_v1/trial_000.json,f1d3bb3be22aac0530f8e293180d0463527514c2b249ea866ee2f4da5859628e,0.000393447427794,1e-05,0.05,128,8,1,128,64,0.25,0.5
1,trial_001,Training/configs/hyperparameter_search_v1/trial_001.json,314cf925a9372fe6db8706de6c468b39ddba5bc07398db321f6402b8246b718a,0.000450032384866,0.0,0.15,128,2,2,256,16,0.5,1.0
2,trial_002,Training/configs/hyperparameter_search_v1/trial_002.json,4134039454d86d0c6816fe411b32a825795ab9249e501c6cb047ba74f2942d28,0.00029392917761,0.0001,0.05,128,4,2,256,64,0.5,2.0
3,trial_003,Training/configs/hyperparameter_search_v1/trial_003.json,a315e1dc8aed1fcfeb6edd3bb7843f728bcd1db8498a6c6aa80f9ae0f252a20b,2.97781200133e-05,0.001,0.05,32,2,1,64,32,0.5,1.0
4,trial_004,Training/configs/hyperparameter_search_v1/trial_004.json,d9152a5d51a30bf2adc23a24f7e6931222ac181406abfbc2c71d5f59e6014089,7.94963455902e-05,0.0001,0.05,64,4,3,64,16,0.1,1.0
5,trial_005,Training/configs/hyperparameter_search_v1/trial_005.json,2734138545690201b9977b72b279d226d44a9b0428e2731f09a319bdf8267b56,5.33853071968e-05,0.0001,0.15,64,8,3,64,32,0.25,1.0
6,trial_006,Training/configs/hyperparameter_search_v1/trial_006.json,69c86c93ba720260843a35b899b6b03a4bdc154878f9107d2d0216cc6d30cf7d,0.0004256402726,1e-05,0.3,32,8,3,64,32,0.1,2.0
7,trial_007,Training/configs/hyperparameter_search_v1/trial_007.json,043456d4b4640c38cdd73e15948779129c7e518d51585e3e9a00db2ced92ceec,6.20635802044e-05,0.0,0.05,32,2,3,64,16,0.1,2.0
8,trial_008,Training/configs/hyperparameter_search_v1/trial_008.json,a5d411f5fb1cab2cf7264b2f76500b8911e72d40e569da02ffa55f5ca952ee7a,2.5191910056e-05,0.001,0.15,64,8,3,256,32,0.25,1.0
9,trial_009,Training/configs/hyperparameter_search_v1/trial_009.json,b277cb62972b6e1bbe2575a5c0abb6b175abcba20bd53c9023811a633cd178c9,0.000138649140674,0.0,0.05,64,2,2,256,16,0.5,0.5
10,trial_010,Training/configs/hyperparameter_search_v1/trial_010.json,a8dd4cd8ff6c5cb4af366f0867f72d0116993f0d04da0abd60244c23f50a08ec,2.71890015528e-05,0.001,0.3,128,2,3,256,64,0.5,2.0
11,trial_011,Training/configs/hyperparameter_search_v1/trial_011.json,310dffabd6de1dc824df1edd9d183bddb3bc28b218e544c2e8399d16261ae181,4.57086506202e-05,0.001,0.15,32,8,2,256,16,0.5,1.0
12,trial_012,Training/configs/hyperparameter_search_v1/trial_012.json,a54a5c4fc2ca22cf186c94a43a3c79eca2ce8e759e86df996e3be49f69593cc5,2.13409340962e-05,1e-05,0.15,64,2,1,64,32,0.5,2.0
13,trial_013,Training/configs/hyperparameter_search_v1/trial_013.json,1a22eb41afdc4870a084f8091a36f7bff7c825d41a68c475a2c56465f7e675eb,5.52102855143e-05,0.0001,0.15,32,4,3,256,64,0.25,1.0
14,trial_014,Training/configs/hyperparameter_search_v1/trial_014.json,ae441ce028b6ebc0a8cac2250b8f02e6b6ffe7eadd2063c3ce3d9526775ed9a2,0.000314530274332,0.001,0.15,64,4,2,128,16,0.25,0.5
15,trial_015,Training/configs/hyperparameter_search_v1/trial_015.json,082f10224af4481072768c6d6994a53952bc17eac90bbe2ab4ce026ffb09e61c,4.69633324615e-05,0.001,0.15,128,4,2,128,32,0.25,1.0
16,trial_016,Training/configs/hyperparameter_search_v1/trial_016.json,4e2ca949877c21d8834f5a0d1a6cb49164a6883e79bdf73e270e43b896dec206,3.09890696712e-05,1e-05,0.05,128,4,3,128,16,0.1,0.5
17,trial_017,Training/configs/hyperparameter_search_v1/trial_017.json,6e52dc769047facb3041dc7a1647ccd946c22209b7059200c8dd62787c5a1dc4,2.62939756581e-05,0.0001,0.15,128,4,1,256,16,0.5,1.0
18,trial_018,Training/configs/hyperparameter_search_v1/trial_018.json,473e9b2c563c7c8caf7fc38967a37bc0606d0415ae71c7c0234f907e516d545c,3.51868256105e-05,1e-05,0.05,64,8,2,64,16,0.25,2.0
19,trial_019,Training/configs/hyperparameter_search_v1/trial_019.json,0a110e5a97f03a6531f2e2e0edf4c61e3d04b961146b245c6d7272a60c65233a,7.64694687479e-05,0.0,0.15,32,2,3,64,64,0.1,0.5
20,trial_020,Training/configs/hyperparameter_search_v1/trial_020.json,78d6f06fca92c17a3831d8336539c9ac289cd484fdea3609d42317ab0bc49be3,5.37177913049e-05,0.001,0.3,128,4,2,128,32,0.25,0.5
21,trial_021,Training/configs/hyperparameter_search_v1/trial_021.json,3310654813807288a1fe7cc8db324590ab776b5621e667cdd957b352e4c666a4,5.23056884028e-05,0.0,0.05,64,8,1,128,16,0.5,0.5
22,trial_022,Training/configs/hyperparameter_search_v1/trial_022.json,e677366cb41e06f7f3698f93b2b116560533198dc8aee7aa7d91669b2e336482,0.000381605632501,0.0001,0.15,32,8,1,256,64,0.5,2.0
23,trial_023,Training/configs/hyperparameter_search_v1/trial_023.json,c8d506741fb446619132461163fa0510eed491736e117da7c64a504c868b2ade,1.56745183795e-05,1e-05,0.3,128,8,1,256,64,0.5,2.0
