variant,seed,run_dir,test_intention_macro_f1,test_intention_accuracy,test_receiving_hand_macro_f1,test_pose_mae_cm,test_pose_end_to_end_mae_cm,test_pose_at_intention_checkpoint_mae_cm,test_pose_end_to_end_at_intention_checkpoint_mae_cm,test_intention_macro_f1_at_pose_checkpoint,trainable_parameters,wall_seconds
full,42,/Users/dersandmannhd/Desktop/Semester 3/Master Thesis/Master-Thesis---Multi-modal-User-Intention-Estimation-and-Hand-Position-Prediction/Training/runs/dataset_v2_20260802_n214_5d136a34/benchmark_v2/residual_v2/benchmark_v2_residual_v2_seed42,0.8566509922081949,0.9076853394508362,0.9591727101799623,14.504495620727539,14.56942081451416,15.238311767578125,15.145304679870605,0.842730260458341,184015,
full,43,/Users/dersandmannhd/Desktop/Semester 3/Master Thesis/Master-Thesis---Multi-modal-User-Intention-Estimation-and-Hand-Position-Prediction/Training/runs/dataset_v2_20260802_n214_5d136a34/benchmark_v2/residual_v2/benchmark_v2_residual_v2_seed43,0.8575715814308219,0.9004092812538147,0.9516923565866836,14.607304573059082,14.657346725463867,17.06598472595215,16.90272331237793,0.8584362989040306,184015,
full,44,/Users/dersandmannhd/Desktop/Semester 3/Master Thesis/Master-Thesis---Multi-modal-User-Intention-Estimation-and-Hand-Position-Prediction/Training/runs/dataset_v2_20260802_n214_5d136a34/benchmark_v2/residual_v2/benchmark_v2_residual_v2_seed44,0.8595006526041008,0.9013187885284424,0.9591727101799623,14.761270523071289,14.826062202453613,15.547897338867188,15.353012084960938,0.8359020762158492,184015,
no_gaze,42,/Users/dersandmannhd/Desktop/Semester 3/Master Thesis/Master-Thesis---Multi-modal-User-Intention-Estimation-and-Hand-Position-Prediction/Training/runs/dataset_v2_20260802_n214_5d136a34/modality_ablation_v1/no_gaze/modality_ablation_v1_no_gaze_seed42,0.7489124964041244,0.8076398372650146,0.9682257643062451,14.737839698791504,14.823987007141113,14.708499908447266,14.77389144897461,0.7746968941145984,176847,958.3993284759927
no_gaze,43,/Users/dersandmannhd/Desktop/Semester 3/Master Thesis/Master-Thesis---Multi-modal-User-Intention-Estimation-and-Hand-Position-Prediction/Training/runs/dataset_v2_20260802_n214_5d136a34/modality_ablation_v1/no_gaze/modality_ablation_v1_no_gaze_seed43,0.8307240342855432,0.875852644443512,0.9717228091156733,13.853718757629395,13.759422302246094,14.626640319824219,14.586851119995117,0.789004502852339,176847,661.7075835409923
no_gaze,44,/Users/dersandmannhd/Desktop/Semester 3/Master Thesis/Master-Thesis---Multi-modal-User-Intention-Estimation-and-Hand-Position-Prediction/Training/runs/dataset_v2_20260802_n214_5d136a34/modality_ablation_v1/no_gaze/modality_ablation_v1_no_gaze_seed44,0.8042925957080254,0.8531150817871094,0.9513548111798592,14.271291732788086,14.393465042114258,14.987076759338379,15.02833366394043,0.7972199475344128,176847,460.2775128079811
no_hands,42,/Users/dersandmannhd/Desktop/Semester 3/Master Thesis/Master-Thesis---Multi-modal-User-Intention-Estimation-and-Hand-Position-Prediction/Training/runs/dataset_v2_20260802_n214_5d136a34/modality_ablation_v1/no_hands/modality_ablation_v1_no_hands_seed42,0.7143612762496305,0.8030923008918762,0.42491551002189304,15.840845108032227,22.89999771118164,15.953620910644531,22.473787307739258,0.7169469989267081,179407,583.2469767350121
no_hands,43,/Users/dersandmannhd/Desktop/Semester 3/Master Thesis/Master-Thesis---Multi-modal-User-Intention-Estimation-and-Hand-Position-Prediction/Training/runs/dataset_v2_20260802_n214_5d136a34/modality_ablation_v1/no_hands/modality_ablation_v1_no_hands_seed43,0.7824326216340042,0.8535698056221008,0.41988304093567247,17.175153732299805,23.22004508972168,17.31182098388672,24.095172882080078,0.6981025223468696,179407,638.3390763360076
no_hands,44,/Users/dersandmannhd/Desktop/Semester 3/Master Thesis/Master-Thesis---Multi-modal-User-Intention-Estimation-and-Hand-Position-Prediction/Training/runs/dataset_v2_20260802_n214_5d136a34/modality_ablation_v1/no_hands/modality_ablation_v1_no_hands_seed44,0.7589634420182086,0.8344702124595642,0.41312741312741313,16.5648193359375,23.31877899169922,18.81011390686035,24.609973907470703,0.6999347502957294,179407,361.21739872399485
no_objects,42,/Users/dersandmannhd/Desktop/Semester 3/Master Thesis/Master-Thesis---Multi-modal-User-Intention-Estimation-and-Hand-Position-Prediction/Training/runs/dataset_v2_20260802_n214_5d136a34/modality_ablation_v1/no_objects/modality_ablation_v1_no_objects_seed42,0.8822329694175827,0.9158708453178406,0.9717228091156733,14.417486190795898,14.334670066833496,15.190808296203613,14.952482223510742,0.8778304573761845,170191,501.35815556399757
