variant,platform,device,checkpoint_sha256,fixture_sha256,model_parameters,input_dim,model_forward_mean_ms,model_forward_median_ms,model_forward_std_ms,model_forward_p95_ms,model_forward_p99_ms,model_forward_fraction_within_realtime_threshold,offline_window_mean_ms,offline_window_median_ms,offline_window_std_ms,offline_window_p95_ms,offline_window_p99_ms,offline_window_fraction_within_realtime_threshold,delta_model_forward_median_ms_vs_full,delta_model_forward_p95_ms_vs_full,delta_offline_window_median_ms_vs_full,delta_offline_window_p95_ms_vs_full,delta_model_parameters_vs_full
full,tcml_cpu,cpu,77b729025f4c8a804b63ca7895fdb454fca0fa51d2b00ef089cb16f620c75c95,8b25fde6633f0ce78f05c62cb6e7c75a0d0848ba88ada707ab9c4a72c9d58853,184015,184,2.933354488,2.8728974999999997,0.18225533652111223,3.31770345,3.32766939,1.0,2.937396488,2.93016,0.09727025961874398,2.9482068000000003,3.0683822599999995,1.0,0.0,0.0,0.0,0.0,0.0
full,tcml_cuda,cuda,77b729025f4c8a804b63ca7895fdb454fca0fa51d2b00ef089cb16f620c75c95,8b25fde6633f0ce78f05c62cb6e7c75a0d0848ba88ada707ab9c4a72c9d58853,184015,184,3.33573348,3.2302365,0.3228034323243816,4.1810023,4.1985148699999995,1.0,3.416021973,3.4190015000000002,0.06575766208789871,3.4682469,3.5937782799999995,1.0,0.0,0.0,0.0,0.0,0.0
no_gaze,tcml_cpu,cpu,65da938050c579447c8ccbbcae26472b700aa35eb0a2981f4b59eb338ebd28e6,9a94f4eac4aaa46b665839b3a556b35aa3c23638f9ac877b1a32b859c1db65f6,176847,128,2.855742506,2.826059,0.13626491709087105,3.14835305,3.16411288,1.0,2.907008904,2.9038575,0.11179815394457453,2.9381627999999997,2.97001391,1.0,-0.04683849999999978,-0.16935040000000035,-0.026302499999999895,-0.010044000000000608,-7168.0
no_gaze,tcml_cuda,cuda,65da938050c579447c8ccbbcae26472b700aa35eb0a2981f4b59eb338ebd28e6,9a94f4eac4aaa46b665839b3a556b35aa3c23638f9ac877b1a32b859c1db65f6,176847,128,3.816200501,3.7495979999999998,0.17179100471195807,4.2559336,4.28423614,1.0,4.016328022,3.9854399999999996,0.08078324952378133,4.11801505,4.14576648,1.0,0.5193614999999996,0.07493129999999937,0.5664384999999994,0.6497681500000003,-7168.0
no_hands,tcml_cpu,cpu,a3e19e3fad39c8cd6afbf95e3ac4d505f12cfe17951df4abaf2d40460ebbec0a,84581cd8559672e2cd04dd35c27639abc38953aba4f36a5ed16bd822bd778c0e,179407,148,2.913602497,2.8583999999999996,0.17271968320765874,3.1922106,3.2219964,1.0,2.934263718,2.934521,0.07347200421660263,2.96668095,2.99304545,1.0,-0.014497500000000052,-0.1254928500000001,0.004361000000000281,0.018474149999999856,-4608.0
no_hands,tcml_cuda,cuda,a3e19e3fad39c8cd6afbf95e3ac4d505f12cfe17951df4abaf2d40460ebbec0a,84581cd8559672e2cd04dd35c27639abc38953aba4f36a5ed16bd822bd778c0e,179407,148,3.785725997,3.7226654999999997,0.16202715243944452,4.15057025,4.28912796,1.0,4.023102459,3.9992465,0.07649281587388662,4.1150705,4.13636382,1.0,0.49242899999999956,-0.030432049999999933,0.5802449999999997,0.6468235999999998,-4608.0
no_objects,tcml_cpu,cpu,7836d743bae140f10a31c7c7b20f1dd3222547efa5f45d200ce02d5f52e1d22b,dc2547f940aa3ffa9eecc88331d631138a8776c9047b9eab9ab9b9b528c6e03d,170191,76,2.613789886,2.5632235,0.16720179381241398,2.96200765,2.96876113,1.0,2.6156413429999996,2.6135755,0.04496205708691887,2.6257443,2.6823973999999997,1.0,-0.3096739999999998,-0.35569580000000034,-0.3165844999999998,-0.3224625000000003,-13824.0
no_objects,tcml_cuda,cuda,7836d743bae140f10a31c7c7b20f1dd3222547efa5f45d200ce02d5f52e1d22b,dc2547f940aa3ffa9eecc88331d631138a8776c9047b9eab9ab9b9b528c6e03d,170191,76,3.438084753,3.317216,0.322468062222813,4.2918213,4.30595629,1.0,3.484399296,3.4899375,0.06776451151653339,3.5243419499999997,3.70271304,1.0,0.08697949999999999,0.11081899999999933,0.07093599999999967,0.0560950499999997,-13824.0
no_vio,tcml_cpu,cpu,2eed4fa2381ef70ad6867dea6665fa2457cbb8cc9dce7a70d6fe6bf440a80009,2f3da60e54d556b97169094ba9fd38b02fa0b5d2c182e05d484a9fa9afe1b32e,181711,166,2.8681286580000003,2.8488059999999997,0.17052266070937033,3.1867653000000002,3.2031786600000003,1.0,2.902652411,2.926179,0.11718441930718469,2.95216635,2.99905141,1.0,-0.024091499999999932,-0.13093814999999998,-0.003981000000000012,0.003959549999999812,-2304.0
no_vio,tcml_cuda,cuda,2eed4fa2381ef70ad6867dea6665fa2457cbb8cc9dce7a70d6fe6bf440a80009,2f3da60e54d556b97169094ba9fd38b02fa0b5d2c182e05d484a9fa9afe1b32e,181711,166,3.5370185430000003,3.5745485,0.2999885290442722,4.0736858499999995,4.12790704,1.0,3.681406811,3.8057689999999997,0.2637724412978947,3.94777305,3.9557844,1.0,0.34431199999999995,-0.10731645000000078,0.3867674999999995,0.4795261499999999,-2304.0
