model,time_to_sequence_end_bin,evaluation,completed_seeds,samples_per_seed_min,samples_per_seed_max,position_error_cm_mean,position_error_cm_std,orientation_error_deg_mean,orientation_error_deg_std
terminal_endpose,0-0.5s,pose_oracle,3,32,32,13.905006726582846,2.636426423145826,45.977848052978516,5.893110593112862
terminal_endpose,0-0.5s,pose_end_to_end,3,29,32,13.376877148946127,2.0152664823542885,45.49115498860677,5.349230653190879
terminal_endpose,0-0.5s,last_observation_oracle,3,32,32,5.325141429901123,0.0,19.027189254760742,0.0
terminal_endpose,0.5-1s,pose_oracle,3,35,35,12.416917483011881,3.0655777499980332,35.90840148925781,6.068441263903516
terminal_endpose,0.5-1s,pose_end_to_end,3,33,35,11.746563911437988,2.218186769576325,35.06609344482422,5.155516720190061
terminal_endpose,0.5-1s,last_observation_oracle,3,35,35,3.8087170124053955,0.0,10.51950740814209,0.0
terminal_endpose,1-2s,pose_oracle,3,66,66,15.73986784617106,4.185756531605981,43.18683878580729,8.573646362675628
terminal_endpose,1-2s,pose_end_to_end,3,66,66,15.945751825968424,4.106629800878746,43.684661865234375,8.402874235294131
terminal_endpose,1-2s,last_observation_oracle,3,66,66,7.779645919799805,0.0,23.895954132080078,0.0
terminal_endpose,2-3s,pose_oracle,3,65,65,19.992207845052082,2.4355714358656297,53.87124379475912,3.77638599808553
terminal_endpose,2-3s,pose_end_to_end,3,65,65,19.919823328653973,2.3863515142278278,56.09449005126953,4.158898430291172
terminal_endpose,2-3s,last_observation_oracle,3,65,65,15.841987609863281,0.0,45.121360778808594,0.0
terminal_endpose,>=3s,pose_oracle,3,84,84,25.840777079264324,0.4263051691056991,73.07113901774089,2.2729962093227503
terminal_endpose,>=3s,pose_end_to_end,3,84,84,25.605095545450848,0.6301259630780888,77.39418029785156,6.046519493637932
terminal_endpose,>=3s,last_observation_oracle,3,84,84,26.954734802246094,0.0,74.93901062011719,0.0
t_plus_1_as_terminal,0-0.5s,pose_oracle,3,32,32,8.462099393208822,0.9518649643768263,31.60777409871419,2.9199720093870347
t_plus_1_as_terminal,0-0.5s,pose_end_to_end,3,29,32,8.497239112854004,0.9549573960828155,31.753764470418293,2.677530508589778
t_plus_1_as_terminal,0-0.5s,last_observation_oracle,3,32,32,5.325141429901123,0.0,19.027189254760742,0.0
t_plus_1_as_terminal,0.5-1s,pose_oracle,3,35,35,7.130486647288005,0.8048818783105685,23.40467071533203,1.6178431853987616
t_plus_1_as_terminal,0.5-1s,pose_end_to_end,3,32,35,7.114638964335124,0.8001418785242582,23.497116088867188,1.8235440933486597
t_plus_1_as_terminal,0.5-1s,last_observation_oracle,3,35,35,3.8087170124053955,0.0,10.51950740814209,0.0
t_plus_1_as_terminal,1-2s,pose_oracle,3,66,66,9.44293181101481,0.7627602141765663,29.28683598836263,2.7549319028814336
t_plus_1_as_terminal,1-2s,pose_end_to_end,3,64,66,9.443645159403482,0.7632216314760991,29.230902989705402,2.718910026191665
t_plus_1_as_terminal,1-2s,last_observation_oracle,3,66,66,7.779645919799805,0.0,23.895954132080078,0.0
t_plus_1_as_terminal,2-3s,pose_oracle,3,65,65,15.98720614115397,0.6366023396411784,47.01270421346029,3.3219437918065493
t_plus_1_as_terminal,2-3s,pose_end_to_end,3,65,65,15.813467025756836,0.6776823640049937,48.495296478271484,3.012287699289962
t_plus_1_as_terminal,2-3s,last_observation_oracle,3,65,65,15.841987609863281,0.0,45.121360778808594,0.0
t_plus_1_as_terminal,>=3s,pose_oracle,3,84,84,27.743013381958008,0.7933662366469701,83.71522013346355,5.14902090887308
t_plus_1_as_terminal,>=3s,pose_end_to_end,3,84,84,27.48225975036621,0.9045986000393457,91.54771677652995,6.358052811265771
t_plus_1_as_terminal,>=3s,last_observation_oracle,3,84,84,26.954734802246094,0.0,74.93901062011719,0.0
