model,seed,time_to_sequence_end_bin,evaluation,samples,position_error_cm,orientation_error_deg
terminal_endpose,42,0-0.5s,pose_oracle,32,10.71194076538086,38.38235855102539
terminal_endpose,42,0-0.5s,pose_end_to_end,32,10.71194076538086,38.38235855102539
terminal_endpose,42,0-0.5s,last_observation_oracle,32,5.325141429901123,19.027189254760742
terminal_endpose,42,0.5-1s,pose_oracle,35,8.984743118286133,28.05573272705078
terminal_endpose,42,0.5-1s,pose_end_to_end,35,8.984743118286133,28.05573272705078
terminal_endpose,42,0.5-1s,last_observation_oracle,35,3.8087170124053955,10.51950740814209
terminal_endpose,42,1-2s,pose_oracle,66,11.75565242767334,34.814842224121094
terminal_endpose,42,1-2s,pose_end_to_end,66,11.75565242767334,34.814842224121094
terminal_endpose,42,1-2s,last_observation_oracle,66,7.779645919799805,23.895954132080078
terminal_endpose,42,2-3s,pose_oracle,65,17.69637680053711,49.48935317993164
terminal_endpose,42,2-3s,pose_end_to_end,65,17.577533721923828,50.70494842529297
terminal_endpose,42,2-3s,last_observation_oracle,65,15.841987609863281,45.121360778808594
terminal_endpose,42,>=3s,pose_oracle,84,25.79197883605957,71.90227508544922
terminal_endpose,42,>=3s,pose_end_to_end,84,25.39744758605957,72.89299011230469
terminal_endpose,42,>=3s,last_observation_oracle,84,26.954734802246094,74.93901062011719
t_plus_1_as_terminal,42,0-0.5s,pose_oracle,32,9.368423461914062,35.19328308105469
t_plus_1_as_terminal,42,0-0.5s,pose_end_to_end,30,9.194232940673828,34.254249572753906
t_plus_1_as_terminal,42,0-0.5s,last_observation_oracle,32,5.325141429901123,19.027189254760742
t_plus_1_as_terminal,42,0.5-1s,pose_oracle,35,7.529623031616211,24.05059242248535
t_plus_1_as_terminal,42,0.5-1s,pose_end_to_end,34,7.464593887329102,23.673303604125977
t_plus_1_as_terminal,42,0.5-1s,last_observation_oracle,35,3.8087170124053955,10.51950740814209
t_plus_1_as_terminal,42,1-2s,pose_oracle,66,9.935746192932129,31.105396270751953
t_plus_1_as_terminal,42,1-2s,pose_end_to_end,64,9.937886238098145,30.937597274780273
t_plus_1_as_terminal,42,1-2s,last_observation_oracle,66,7.779645919799805,23.895954132080078
t_plus_1_as_terminal,42,2-3s,pose_oracle,65,15.985822677612305,48.31369400024414
t_plus_1_as_terminal,42,2-3s,pose_end_to_end,65,15.912352561950684,49.84138870239258
t_plus_1_as_terminal,42,2-3s,last_observation_oracle,65,15.841987609863281,45.121360778808594
t_plus_1_as_terminal,42,>=3s,pose_oracle,84,27.710872650146484,84.6363296508789
t_plus_1_as_terminal,42,>=3s,pose_end_to_end,84,27.410072326660156,92.84115600585938
t_plus_1_as_terminal,42,>=3s,last_observation_oracle,84,26.954734802246094,74.93901062011719
terminal_endpose,43,0-0.5s,pose_oracle,32,17.168682098388672,52.7462043762207
terminal_endpose,43,0-0.5s,pose_end_to_end,29,15.584293365478516,51.28612518310547
terminal_endpose,43,0-0.5s,last_observation_oracle,32,5.325141429901123,19.027189254760742
terminal_endpose,43,0.5-1s,pose_oracle,35,16.426862716674805,42.83317947387695
terminal_endpose,43,0.5-1s,pose_end_to_end,33,14.415802001953125,40.30625534057617
terminal_endpose,43,0.5-1s,last_observation_oracle,35,3.8087170124053955,10.51950740814209
terminal_endpose,43,1-2s,pose_oracle,66,21.523460388183594,54.96845245361328
terminal_endpose,43,1-2s,pose_end_to_end,66,21.523460388183594,54.96845245361328
terminal_endpose,43,1-2s,last_observation_oracle,66,7.779645919799805,23.895954132080078
terminal_endpose,43,2-3s,pose_oracle,65,23.363832473754883,58.70622253417969
terminal_endpose,43,2-3s,pose_end_to_end,65,23.19507598876953,60.82869338989258
terminal_endpose,43,2-3s,last_observation_oracle,65,15.841987609863281,45.121360778808594
terminal_endpose,43,>=3s,pose_oracle,84,26.385578155517578,76.24884796142578
terminal_endpose,43,>=3s,pose_end_to_end,84,26.45941925048828,85.94120788574219
terminal_endpose,43,>=3s,last_observation_oracle,84,26.954734802246094,74.93901062011719
t_plus_1_as_terminal,43,0-0.5s,pose_oracle,32,8.8709135055542,31.58912467956543
t_plus_1_as_terminal,43,0-0.5s,pose_end_to_end,29,9.15052318572998,32.966129302978516
t_plus_1_as_terminal,43,0-0.5s,last_observation_oracle,32,5.325141429901123,19.027189254760742
t_plus_1_as_terminal,43,0.5-1s,pose_oracle,35,7.854103088378906,24.982555389404297
t_plus_1_as_terminal,43,0.5-1s,pose_end_to_end,32,7.871589183807373,25.63718032836914
t_plus_1_as_terminal,43,0.5-1s,last_observation_oracle,35,3.8087170124053955,10.51950740814209
t_plus_1_as_terminal,43,1-2s,pose_oracle,66,10.027521133422852,31.361530303955078
t_plus_1_as_terminal,43,1-2s,pose_end_to_end,66,10.027521133422852,31.361530303955078
t_plus_1_as_terminal,43,1-2s,last_observation_oracle,66,7.779645919799805,23.895954132080078
t_plus_1_as_terminal,43,2-3s,pose_oracle,65,16.7675724029541,50.27162551879883
t_plus_1_as_terminal,43,2-3s,pose_end_to_end,65,16.589582443237305,51.322513580322266
t_plus_1_as_terminal,43,2-3s,last_observation_oracle,65,15.841987609863281,45.121360778808594
t_plus_1_as_terminal,43,>=3s,pose_oracle,84,28.730356216430664,89.51024627685547
t_plus_1_as_terminal,43,>=3s,pose_end_to_end,84,28.62449073791504,98.60700225830078
t_plus_1_as_terminal,43,>=3s,last_observation_oracle,84,26.954734802246094,74.93901062011719
terminal_endpose,44,0-0.5s,pose_oracle,32,13.834397315979004,46.80498123168945
terminal_endpose,44,0-0.5s,pose_end_to_end,32,13.834397315979004,46.80498123168945
terminal_endpose,44,0-0.5s,last_observation_oracle,32,5.325141429901123,19.027189254760742
terminal_endpose,44,0.5-1s,pose_oracle,35,11.839146614074707,36.8362922668457
terminal_endpose,44,0.5-1s,pose_end_to_end,35,11.839146614074707,36.8362922668457
