model,time_to_sequence_end_bin,completed_seeds,samples_mean,samples_std,position_error_cm_mean,position_error_cm_std,orientation_error_deg_mean,orientation_error_deg_std
t_plus_1_as_terminal,0-0.5s,3,32.0,0.0,8.462099393208822,0.9518649643768263,31.60777409871419,2.9199720093870347
t_plus_1_as_terminal,0.5-1s,3,35.0,0.0,7.130486647288005,0.8048818783105685,23.40467071533203,1.6178431853987616
t_plus_1_as_terminal,1-2s,3,66.0,0.0,9.44293181101481,0.7627602141765663,29.28683598836263,2.7549319028814336
t_plus_1_as_terminal,2-3s,3,65.0,0.0,15.98720614115397,0.6366023396411784,47.01270421346029,3.3219437918065493
t_plus_1_as_terminal,>=3s,3,84.0,0.0,27.743013381958008,0.7933662366469701,83.71522013346355,5.14902090887308
terminal_endpose_v1,0-0.5s,3,32.0,0.0,13.905006726582846,2.636426423145826,45.977848052978516,5.893110593112862
terminal_endpose_v1,0.5-1s,3,35.0,0.0,12.416917483011881,3.0655777499980332,35.90840148925781,6.068441263903516
terminal_endpose_v1,1-2s,3,66.0,0.0,15.73986784617106,4.185756531605981,43.18683878580729,8.573646362675628
terminal_endpose_v1,2-3s,3,65.0,0.0,19.992207845052082,2.4355714358656297,53.87124379475912,3.77638599808553
terminal_endpose_v1,>=3s,3,84.0,0.0,25.840777079264324,0.4263051691056991,73.07113901774089,2.2729962093227503
terminal_endpose_v2,0-0.5s,3,32.0,0.0,8.06172482172648,1.1695680837978033,20.552958806355793,0.9203317307987924
terminal_endpose_v2,0.5-1s,3,35.0,0.0,6.662286917368571,1.397392404277807,12.32349427541097,1.6993191514540613
terminal_endpose_v2,1-2s,3,66.0,0.0,9.71070639292399,1.213525487139812,25.212629318237305,1.6709882756539
terminal_endpose_v2,2-3s,3,65.0,0.0,17.209553082784016,1.545804085344499,45.62817637125651,1.7923561940299815
terminal_endpose_v2,>=3s,3,84.0,0.0,27.911765416463215,1.3842867190158177,75.57290395100911,1.7852443986298272
