model,seed,time_to_sequence_end_bin,samples,position_error_cm,orientation_error_deg
t_plus_1_as_terminal,42,0-0.5s,32,9.368423461914062,35.19328308105469
t_plus_1_as_terminal,42,0.5-1s,35,7.529623031616211,24.05059242248535
t_plus_1_as_terminal,42,1-2s,66,9.935746192932129,31.105396270751953
t_plus_1_as_terminal,42,2-3s,65,15.985822677612305,48.31369400024414
t_plus_1_as_terminal,42,>=3s,84,27.710872650146484,84.6363296508789
terminal_endpose_v1,42,0-0.5s,32,10.71194076538086,38.38235855102539
terminal_endpose_v1,42,0.5-1s,35,8.984743118286133,28.05573272705078
terminal_endpose_v1,42,1-2s,66,11.75565242767334,34.814842224121094
terminal_endpose_v1,42,2-3s,65,17.69637680053711,49.48935317993164
terminal_endpose_v1,42,>=3s,84,25.79197883605957,71.90227508544922
terminal_endpose_v2,42,0-0.5s,32,8.212687492370605,20.357990264892578
terminal_endpose_v2,42,0.5-1s,35,6.653613090515137,11.531208038330078
terminal_endpose_v2,42,1-2s,66,9.347844123840332,24.196163177490234
terminal_endpose_v2,42,2-3s,65,16.39967155456543,43.86432647705078
terminal_endpose_v2,42,>=3s,84,27.09869384765625,73.75652313232422
t_plus_1_as_terminal,43,0-0.5s,32,8.8709135055542,31.58912467956543
t_plus_1_as_terminal,43,0.5-1s,35,7.854103088378906,24.982555389404297
t_plus_1_as_terminal,43,1-2s,66,10.027521133422852,31.361530303955078
t_plus_1_as_terminal,43,2-3s,65,16.7675724029541,50.27162551879883
t_plus_1_as_terminal,43,>=3s,84,28.730356216430664,89.51024627685547
terminal_endpose_v1,43,0-0.5s,32,17.168682098388672,52.7462043762207
terminal_endpose_v1,43,0.5-1s,35,16.426862716674805,42.83317947387695
terminal_endpose_v1,43,1-2s,66,21.523460388183594,54.96845245361328
terminal_endpose_v1,43,2-3s,65,23.363832473754883,58.70622253417969
terminal_endpose_v1,43,>=3s,84,26.385578155517578,76.24884796142578
terminal_endpose_v2,43,0-0.5s,32,6.559799671173096,19.53598976135254
terminal_endpose_v2,43,0.5-1s,35,4.955191135406494,10.7547607421875
terminal_endpose_v2,43,1-2s,66,8.43947982788086,23.873323440551758
terminal_endpose_v2,43,2-3s,65,15.855990409851074,44.93357467651367
terminal_endpose_v2,43,>=3s,84,26.776042938232422,74.96247100830078
t_plus_1_as_terminal,44,0-0.5s,32,7.146961212158203,28.04091453552246
t_plus_1_as_terminal,44,0.5-1s,35,6.0077338218688965,21.180864334106445
t_plus_1_as_terminal,44,1-2s,66,8.365528106689453,25.39358139038086
t_plus_1_as_terminal,44,2-3s,65,15.208223342895508,42.45279312133789
t_plus_1_as_terminal,44,>=3s,84,26.787811279296875,76.99908447265625
terminal_endpose_v1,44,0-0.5s,32,13.834397315979004,46.80498123168945
terminal_endpose_v1,44,0.5-1s,35,11.839146614074707,36.8362922668457
terminal_endpose_v1,44,1-2s,66,13.94049072265625,39.7772216796875
terminal_endpose_v1,44,2-3s,65,18.916414260864258,53.418155670166016
terminal_endpose_v1,44,>=3s,84,25.34477424621582,71.06229400634766
terminal_endpose_v2,44,0-0.5s,32,9.412687301635742,21.764896392822266
terminal_endpose_v2,44,0.5-1s,35,8.378056526184082,14.684514045715332
terminal_endpose_v2,44,1-2s,66,11.344795227050781,27.568401336669922
terminal_endpose_v2,44,2-3s,65,19.372997283935547,48.08662796020508
terminal_endpose_v2,44,>=3s,84,29.860559463500977,77.99971771240234
