trial_index,trial_tag,status,error,run_dir,config_sha256,learning_rate,weight_decay,dropout,d_model,nhead,num_layers,dim_feedforward,batch_size,orientation_loss_weight,receiving_hand_loss_weight,validation_intention_macro_f1,validation_intention_accuracy,validation_receiving_hand_macro_f1,validation_pose_mae_cm,validation_pose_end_to_end_mae_cm,best_intention_epoch,trainable_parameters,wall_seconds,git_commit,git_dirty,dataset_content_fingerprint
0,trial_000,completed,,/home/eker/Master-Thesis---Multi-modal-User-Intention-Estimation-and-Hand-Position-Prediction/Training/runs/dataset_v2_20260802_n214_5d136a34/residual_v2_hp_search_v1/trial_000/residual_v2_hp_search_v1_trial_000_seed42,f1d3bb3be22aac0530f8e293180d0463527514c2b249ea866ee2f4da5859628e,0.000393447427794,1e-05,0.05,128,8,1,128,64,0.25,0.5,0.9202430574955375,0.9474216103553772,1.0,8.273809432983398,8.273809432983398,10,332175,241.04873169702478,7d168e7aecd3796b80de67475517bf721396bf87,True,51f01625e3ae41b7b76abfc59ca5ddd8ef1146e32cef6c21643684cc639c9c97
1,trial_001,completed,,/home/eker/Master-Thesis---Multi-modal-User-Intention-Estimation-and-Hand-Position-Prediction/Training/runs/dataset_v2_20260802_n214_5d136a34/residual_v2_hp_search_v1/trial_001/residual_v2_hp_search_v1_trial_001_seed42,314cf925a9372fe6db8706de6c468b39ddba5bc07398db321f6402b8246b718a,0.000450032384866,0.0,0.15,128,2,2,256,16,0.5,1.0,0.9305701459863712,0.9539939165115356,0.9984825493171472,9.28732967376709,9.28732967376709,10,662927,1530.271645308996,7d168e7aecd3796b80de67475517bf721396bf87,True,51f01625e3ae41b7b76abfc59ca5ddd8ef1146e32cef6c21643684cc639c9c97
2,trial_002,completed,,/home/eker/Master-Thesis---Multi-modal-User-Intention-Estimation-and-Hand-Position-Prediction/Training/runs/dataset_v2_20260802_n214_5d136a34/residual_v2_hp_search_v1/trial_002/residual_v2_hp_search_v1_trial_002_seed42,4134039454d86d0c6816fe411b32a825795ab9249e501c6cb047ba74f2942d28,0.00029392917761,0.0001,0.05,128,4,2,256,64,0.5,2.0,0.9222303175358914,0.9469161033630371,0.9954337899543378,9.3958740234375,9.536118507385254,19,662927,797.3851196000469,7d168e7aecd3796b80de67475517bf721396bf87,,51f01625e3ae41b7b76abfc59ca5ddd8ef1146e32cef6c21643684cc639c9c97
3,trial_003,completed,,/home/eker/Master-Thesis---Multi-modal-User-Intention-Estimation-and-Hand-Position-Prediction/Training/runs/dataset_v2_20260802_n214_5d136a34/residual_v2_hp_search_v1/trial_003/residual_v2_hp_search_v1_trial_003_seed42,a315e1dc8aed1fcfeb6edd3bb7843f728bcd1db8498a6c6aa80f9ae0f252a20b,2.97781200133e-05,0.001,0.05,32,2,1,64,32,0.5,1.0,0.9143350667008838,0.9423660039901733,0.9984825493171472,8.001470565795898,8.046271324157715,17,38063,890.0151097140042,7d168e7aecd3796b80de67475517bf721396bf87,True,51f01625e3ae41b7b76abfc59ca5ddd8ef1146e32cef6c21643684cc639c9c97
4,trial_004,completed,,/home/eker/Master-Thesis---Multi-modal-User-Intention-Estimation-and-Hand-Position-Prediction/Training/runs/dataset_v2_20260802_n214_5d136a34/residual_v2_hp_search_v1/trial_004/residual_v2_hp_search_v1_trial_004_seed42,d9152a5d51a30bf2adc23a24f7e6931222ac181406abfbc2c71d5f59e6014089,7.94963455902e-05,0.0001,0.05,64,4,3,64,16,0.1,1.0,0.9255042289831334,0.951971709728241,0.9969604863221885,8.831856727600098,8.84304141998291,9,201423,833.8988312739821,7d168e7aecd3796b80de67475517bf721396bf87,True,51f01625e3ae41b7b76abfc59ca5ddd8ef1146e32cef6c21643684cc639c9c97
5,trial_005,completed,,/home/eker/Master-Thesis---Multi-modal-User-Intention-Estimation-and-Hand-Position-Prediction/Training/runs/dataset_v2_20260802_n214_5d136a34/residual_v2_hp_search_v1/trial_005/residual_v2_hp_search_v1_trial_005_seed42,2734138545690201b9977b72b279d226d44a9b0428e2731f09a319bdf8267b56,5.33853071968e-05,0.0001,0.15,64,8,3,64,32,0.25,1.0,0.9177005729639669,0.9448938369750977,0.9939024390243902,9.765420913696289,9.744105339050293,16,201423,500.75923628002056,7d168e7aecd3796b80de67475517bf721396bf87,True,51f01625e3ae41b7b76abfc59ca5ddd8ef1146e32cef6c21643684cc639c9c97
6,trial_006,completed,,/home/eker/Master-Thesis---Multi-modal-User-Intention-Estimation-and-Hand-Position-Prediction/Training/runs/dataset_v2_20260802_n214_5d136a34/residual_v2_hp_search_v1/trial_006/residual_v2_hp_search_v1_trial_006_seed42,69c86c93ba720260843a35b899b6b03a4bdc154878f9107d2d0216cc6d30cf7d,0.0004256402726,1e-05,0.3,32,8,3,64,32,0.1,2.0,0.9219725761590508,0.9453994035720825,1.0,7.354160308837891,7.354160308837891,15,72239,796.9114259709604,7d168e7aecd3796b80de67475517bf721396bf87,True,51f01625e3ae41b7b76abfc59ca5ddd8ef1146e32cef6c21643684cc639c9c97
7,trial_007,completed,,/home/eker/Master-Thesis---Multi-modal-User-Intention-Estimation-and-Hand-Position-Prediction/Training/runs/dataset_v2_20260802_n214_5d136a34/residual_v2_hp_search_v1/trial_007/residual_v2_hp_search_v1_trial_007_seed42,043456d4b4640c38cdd73e15948779129c7e518d51585e3e9a00db2ced92ceec,6.20635802044e-05,0.0,0.05,32,2,3,64,16,0.1,2.0,0.9181750086330172,0.9443882703781128,0.9984825493171472,7.917408466339111,7.9594621658325195,5,72239,983.6842479089973,7d168e7aecd3796b80de67475517bf721396bf87,True,51f01625e3ae41b7b76abfc59ca5ddd8ef1146e32cef6c21643684cc639c9c97
8,trial_008,completed,,/home/eker/Master-Thesis---Multi-modal-User-Intention-Estimation-and-Hand-Position-Prediction/Training/runs/dataset_v2_20260802_n214_5d136a34/residual_v2_hp_search_v1/trial_008/residual_v2_hp_search_v1_trial_008_seed42,a5d411f5fb1cab2cf7264b2f76500b8911e72d40e569da02ffa55f5ca952ee7a,2.5191910056e-05,0.001,0.15,64,8,3,256,32,0.25,1.0,0.9114416138723033,0.9383215308189392,0.9984825493171472,8.873852729797363,8.83966064453125,18,350031,1301.3458210860263,7d168e7aecd3796b80de67475517bf721396bf87,True,51f01625e3ae41b7b76abfc59ca5ddd8ef1146e32cef6c21643684cc639c9c97
9,trial_009,completed,,/home/eker/Master-Thesis---Multi-modal-User-Intention-Estimation-and-Hand-Position-Prediction/Training/runs/dataset_v2_20260802_n214_5d136a34/residual_v2_hp_search_v1/trial_009/residual_v2_hp_search_v1_trial_009_seed42,b277cb62972b6e1bbe2575a5c0abb6b175abcba20bd53c9023811a633cd178c9,0.000138649140674,0.0,0.05,64,2,2,256,16,0.5,0.5,0.9264583396909681,0.9504550099372864,0.9984825493171472,8.903989791870117,8.954507827758789,7,250063,909.5617231259821,7d168e7aecd3796b80de67475517bf721396bf87,True,51f01625e3ae41b7b76abfc59ca5ddd8ef1146e32cef6c21643684cc639c9c97
10,trial_010,completed,,/home/eker/Master-Thesis---Multi-modal-User-Intention-Estimation-and-Hand-Position-Prediction/Training/runs/dataset_v2_20260802_n214_5d136a34/residual_v2_hp_search_v1/trial_010/residual_v2_hp_search_v1_trial_010_seed42,a8dd4cd8ff6c5cb4af366f0867f72d0116993f0d04da0abd60244c23f50a08ec,2.71890015528e-05,0.001,0.3,128,2,3,256,64,0.5,2.0,0.9126868867663367,0.9403437972068787,1.0,9.11897087097168,9.11897087097168,14,927887,951.8613771600067,7d168e7aecd3796b80de67475517bf721396bf87,True,51f01625e3ae41b7b76abfc59ca5ddd8ef1146e32cef6c21643684cc639c9c97
11,trial_011,completed,,/home/eker/Master-Thesis---Multi-modal-User-Intention-Estimation-and-Hand-Position-Prediction/Training/runs/dataset_v2_20260802_n214_5d136a34/residual_v2_hp_search_v1/trial_011/residual_v2_hp_search_v1_trial_011_seed42,310dffabd6de1dc824df1edd9d183bddb3bc28b218e544c2e8399d16261ae181,4.57086506202e-05,0.001,0.15,32,8,2,256,16,0.5,1.0,0.9130859259199435,0.9388270974159241,0.9984825493171472,8.688501358032227,8.747211456298828,11,105071,1713.4574386809836,7d168e7aecd3796b80de67475517bf721396bf87,True,51f01625e3ae41b7b76abfc59ca5ddd8ef1146e32cef6c21643684cc639c9c97
12,trial_012,completed,,/home/eker/Master-Thesis---Multi-modal-User-Intention-Estimation-and-Hand-Position-Prediction/Training/runs/dataset_v2_20260802_n214_5d136a34/residual_v2_hp_search_v1/trial_012/residual_v2_hp_search_v1_trial_012_seed42,a54a5c4fc2ca22cf186c94a43a3c79eca2ce8e759e86df996e3be49f69593cc5,2.13409340962e-05,1e-05,0.15,64,2,1,64,32,0.5,2.0,0.9082264582150636,0.9337714910507202,0.9984825493171472,8.429109573364258,8.378721237182617,20,100559,410.0077322659781,7d168e7aecd3796b80de67475517bf721396bf87,True,51f01625e3ae41b7b76abfc59ca5ddd8ef1146e32cef6c21643684cc639c9c97
13,trial_013,completed,,/home/eker/Master-Thesis---Multi-modal-User-Intention-Estimation-and-Hand-Position-Prediction/Training/runs/dataset_v2_20260802_n214_5d136a34/residual_v2_hp_search_v1/trial_013/residual_v2_hp_search_v1_trial_013_seed42,1a22eb41afdc4870a084f8091a36f7bff7c825d41a68c475a2c56465f7e675eb,5.52102855143e-05,0.0001,0.15,32,4,3,256,64,0.25,1.0,0.8913057320821912,0.9282103180885315,0.9984825493171472,8.304056167602539,8.350810050964355,16,147119,384.47162767197005,7d168e7aecd3796b80de67475517bf721396bf87,True,51f01625e3ae41b7b76abfc59ca5ddd8ef1146e32cef6c21643684cc639c9c97
14,trial_014,completed,,/home/eker/Master-Thesis---Multi-modal-User-Intention-Estimation-and-Hand-Position-Prediction/Training/runs/dataset_v2_20260802_n214_5d136a34/residual_v2_hp_search_v1/trial_014/residual_v2_hp_search_v1_trial_014_seed42,ae441ce028b6ebc0a8cac2250b8f02e6b6ffe7eadd2063c3ce3d9526775ed9a2,0.000314530274332,0.001,0.15,64,4,2,128,16,0.25,0.5,0.9248403769826505,0.9474216103553772,0.9969604863221885,8.589824676513672,8.6039400100708,12,184015,911.6177249859902,7d168e7aecd3796b80de67475517bf721396bf87,True,51f01625e3ae41b7b76abfc59ca5ddd8ef1146e32cef6c21643684cc639c9c97
15,trial_015,completed,,/home/eker/Master-Thesis---Multi-modal-User-Intention-Estimation-and-Hand-Position-Prediction/Training/runs/dataset_v2_20260802_n214_5d136a34/residual_v2_hp_search_v1/trial_015/residual_v2_hp_search_v1_trial_015_seed42,082f10224af4481072768c6d6994a53952bc17eac90bbe2ab4ce026ffb09e61c,4.69633324615e-05,0.001,0.15,128,4,2,128,32,0.25,1.0,0.919612388604501,0.9453994035720825,1.0,9.660244941711426,9.660244941711426,10,531343,808.7787342239753,7d168e7aecd3796b80de67475517bf721396bf87,True,51f01625e3ae41b7b76abfc59ca5ddd8ef1146e32cef6c21643684cc639c9c97
16,trial_016,completed,,/home/eker/Master-Thesis---Multi-modal-User-Intention-Estimation-and-Hand-Position-Prediction/Training/runs/dataset_v2_20260802_n214_5d136a34/residual_v2_hp_search_v1/trial_016/residual_v2_hp_search_v1_trial_016_seed42,4e2ca949877c21d8834f5a0d1a6cb49164a6883e79bdf73e270e43b896dec206,3.09890696712e-05,1e-05,0.05,128,4,3,128,16,0.1,0.5,0.9216872391120198,0.9484327435493469,0.9969604863221885,9.63871955871582,9.513127326965332,8,730511,1130.8178860950284,7d168e7aecd3796b80de67475517bf721396bf87,True,51f01625e3ae41b7b76abfc59ca5ddd8ef1146e32cef6c21643684cc639c9c97
17,trial_017,completed,,/home/eker/Master-Thesis---Multi-modal-User-Intention-Estimation-and-Hand-Position-Prediction/Training/runs/dataset_v2_20260802_n214_5d136a34/residual_v2_hp_search_v1/trial_017/residual_v2_hp_search_v1_trial_017_seed42,6e52dc769047facb3041dc7a1647ccd946c22209b7059200c8dd62787c5a1dc4,2.62939756581e-05,0.0001,0.15,128,4,1,256,16,0.5,1.0,0.9193751240115166,0.9443882703781128,0.9954337899543378,8.718883514404297,8.74475383758545,9,397967,606.0904115759768,7d168e7aecd3796b80de67475517bf721396bf87,True,51f01625e3ae41b7b76abfc59ca5ddd8ef1146e32cef6c21643684cc639c9c97
18,trial_018,completed,,/home/eker/Master-Thesis---Multi-modal-User-Intention-Estimation-and-Hand-Position-Prediction/Training/runs/dataset_v2_20260802_n214_5d136a34/residual_v2_hp_search_v1/trial_018/residual_v2_hp_search_v1_trial_018_seed42,473e9b2c563c7c8caf7fc38967a37bc0606d0415ae71c7c0234f907e516d545c,3.51868256105e-05,1e-05,0.05,64,8,2,64,16,0.25,2.0,0.9241387851797267,0.9499494433403015,0.9969604863221885,8.677058219909668,8.7861909866333,18,150991,1748.2044326319592,7d168e7aecd3796b80de67475517bf721396bf87,True,51f01625e3ae41b7b76abfc59ca5ddd8ef1146e32cef6c21643684cc639c9c97
19,trial_019,completed,,/home/eker/Master-Thesis---Multi-modal-User-Intention-Estimation-and-Hand-Position-Prediction/Training/runs/dataset_v2_20260802_n214_5d136a34/residual_v2_hp_search_v1/trial_019/residual_v2_hp_search_v1_trial_019_seed42,0a110e5a97f03a6531f2e2e0edf4c61e3d04b961146b245c6d7272a60c65233a,7.64694687479e-05,0.0,0.15,32,2,3,64,64,0.1,0.5,0.904586377767191,0.9357937574386597,0.9969604863221885,8.053433418273926,8.036458015441895,14,72239,368.11991582997143,7d168e7aecd3796b80de67475517bf721396bf87,True,51f01625e3ae41b7b76abfc59ca5ddd8ef1146e32cef6c21643684cc639c9c97
20,trial_020,completed,,/home/eker/Master-Thesis---Multi-modal-User-Intention-Estimation-and-Hand-Position-Prediction/Training/runs/dataset_v2_20260802_n214_5d136a34/residual_v2_hp_search_v1/trial_020/residual_v2_hp_search_v1_trial_020_seed42,78d6f06fca92c17a3831d8336539c9ac289cd484fdea3609d42317ab0bc49be3,5.37177913049e-05,0.001,0.3,128,4,2,128,32,0.25,0.5,0.9289786250002163,0.9514661431312561,0.9984825493171472,10.058789253234863,9.97490119934082,10,531343,912.2397336810245,7d168e7aecd3796b80de67475517bf721396bf87,True,51f01625e3ae41b7b76abfc59ca5ddd8ef1146e32cef6c21643684cc639c9c97
21,trial_021,completed,,/home/eker/Master-Thesis---Multi-modal-User-Intention-Estimation-and-Hand-Position-Prediction/Training/runs/dataset_v2_20260802_n214_5d136a34/residual_v2_hp_search_v1/trial_021/residual_v2_hp_search_v1_trial_021_seed42,3310654813807288a1fe7cc8db324590ab776b5621e667cdd957b352e4c666a4,5.23056884028e-05,0.0,0.05,64,8,1,128,16,0.5,0.5,0.9278709988268812,0.9509605765342712,0.9969604863221885,8.106279373168945,8.096874237060547,13,117071,746.4545569909969,7d168e7aecd3796b80de67475517bf721396bf87,True,51f01625e3ae41b7b76abfc59ca5ddd8ef1146e32cef6c21643684cc639c9c97
22,trial_022,completed,,/home/eker/Master-Thesis---Multi-modal-User-Intention-Estimation-and-Hand-Position-Prediction/Training/runs/dataset_v2_20260802_n214_5d136a34/residual_v2_hp_search_v1/trial_022/residual_v2_hp_search_v1_trial_022_seed42,e677366cb41e06f7f3698f93b2b116560533198dc8aee7aa7d91669b2e336482,0.000381605632501,0.0001,0.15,32,8,1,256,64,0.5,2.0,0.9338260148819328,0.9539939165115356,0.9984825493171472,8.81955337524414,8.853493690490723,10,63023,561.9061286710203,7d168e7aecd3796b80de67475517bf721396bf87,True,51f01625e3ae41b7b76abfc59ca5ddd8ef1146e32cef6c21643684cc639c9c97
23,trial_023,completed,,/home/eker/Master-Thesis---Multi-modal-User-Intention-Estimation-and-Hand-Position-Prediction/Training/runs/dataset_v2_20260802_n214_5d136a34/residual_v2_hp_search_v1/trial_023/residual_v2_hp_search_v1_trial_023_seed42,c8d506741fb446619132461163fa0510eed491736e117da7c64a504c868b2ade,1.56745183795e-05,1e-05,0.3,128,8,1,256,64,0.5,2.0,0.9092346659364732,0.9352881908416748,0.9984825493171472,9.604436874389648,9.554194450378418,20,397967,241.61190442700172,7d168e7aecd3796b80de67475517bf721396bf87,True,51f01625e3ae41b7b76abfc59ca5ddd8ef1146e32cef6c21643684cc639c9c97
