sequence_id,participant,rows,intervals,nonpositive_intervals,median_delta_seconds
Angelina_10_20260715_153801,Angelina,806,805,0,0.033333
Angelina_1_20260715_152929,Angelina,1223,1222,0,0.033333
Angelina_2_20260715_153046,Angelina,1138,1137,0,0.033333
Angelina_3_20260715_153144,Angelina,1088,1087,0,0.033333
Angelina_4_20260715_153241,Angelina,878,877,0,0.033333
Angelina_6_20260715_153440,Angelina,1037,1036,0,0.033333
Angelina_7_20260715_153539,Angelina,804,803,0,0.033333
Angelina_8_20260715_153620,Angelina,1026,1025,0,0.033333
Angelina_9_20260715_153718,Angelina,667,666,0,0.033333
Berat_10_20260616_142950,Berat,1123,1122,0,0.033333
Berat_1_20260604_154611,Berat,1144,1143,0,0.033333
Berat_3_20260604_154928,Berat,1093,1092,0,0.033333
Berat_4_20260604_155100,Berat,1147,1146,0,0.033333
Berat_5_20260604_155234,Berat,1452,1451,0,0.033333
Berat_6_20260616_142129,Berat,1008,1007,0,0.033333
Berat_7_20260616_142358,Berat,999,998,0,0.033333
Berat_8_20260616_142539,Berat,1190,1189,0,0.033333
Berat_9_20260616_142847,Berat,1121,1120,0,0.033333
David_1_20260715_140439,David,1148,1147,0,0.033333
David_2_20260715_140628,David,1089,1088,0,0.033333
David_3_20260715_140810,David,1034,1033,0,0.033333
David_4_20260715_140931,David,1036,1035,0,0.033333
David_5_20260715_141027,David,1116,1115,0,0.033333
David_6_20260715_141130,David,1112,1111,0,0.033333
Felix_2_20260604_172102,Felix,994,993,0,0.033333
Felix_3_20260604_172212,Felix,982,981,0,0.033333
Felix_4_20260604_172358,Felix,1004,1003,0,0.033333
Florian_10_20260715_151601,Florian,1230,1229,0,0.033333
Florian_1_20260715_150317,Florian,1412,1411,0,0.033333
Florian_2_20260715_150637,Florian,1445,1444,0,0.033333
Florian_3_20260715_150741,Florian,1467,1466,0,0.033333
Florian_4_20260715_150849,Florian,1552,1551,0,0.033333
Florian_5_20260715_150959,Florian,1555,1554,0,0.033333
Florian_6_20260715_151126,Florian,1479,1478,0,0.033333
Florian_7_20260715_151245,Florian,1415,1414,0,0.033333
Florian_8_20260715_151356,Florian,1275,1274,0,0.033333
Florian_9_20260715_151452,Florian,1502,1501,0,0.033333
Isa_10_20260730_182750,Isa,868,867,0,0.033333
Isa_11_20260730_182938,Isa,978,977,0,0.033333
Isa_12_20260730_183049,Isa,808,807,0,0.033333
Isa_12_2_20260730_183154,Isa,1109,1108,0,0.033333
Isa_13_20260730_183253,Isa,885,884,0,0.033333
Isa_14_20260730_183443,Isa,849,848,0,0.033333
Isa_15_20260730_183544,Isa,811,810,0,0.033333
Isa_16_20260730_183636,Isa,826,825,0,0.033333
Isa_17_20260730_183720,Isa,820,819,0,0.033333
Isa_18_20260730_183810,Isa,777,776,0,0.033333
Isa_19_20260730_183917,Isa,869,868,0,0.033333
Isa_1_20260730_181722,Isa,935,934,0,0.033333
Isa_2_20260730_181847,Isa,901,900,0,0.033333
Isa_3_20260730_182001,Isa,870,869,0,0.033333
Isa_4_20260730_182053,Isa,811,810,0,0.033333
Isa_6_20260730_182331,Isa,834,833,0,0.033333
Isa_7_20260730_182452,Isa,766,765,0,0.033333
Isa_8_20260730_182551,Isa,851,850,0,0.033333
Isa_9_20260730_182655,Isa,899,898,0,0.033333
Jan_1_20260604_161550,Jan,997,996,0,0.033333
Jan_2_20260604_161704,Jan,1030,1029,0,0.033333
Jan_3_20260604_161835,Jan,996,995,0,0.033333
Jan_4_20260604_162000,Jan,998,997,0,0.033333
Jan_5_20260604_162111,Jan,1109,1108,0,0.033333
Jola_1_20260624_131133,Jola,1235,1234,0,0.033333
Jola_2_20260624_131246,Jola,1299,1298,0,0.033333
Jola_3_20260624_131435,Jola,1223,1222,0,0.033333
Julienco_1_20260624_125251,Julienco,1038,1037,0,0.033333
Julienco_2_20260624_125435,Julienco,757,756,0,0.033333
Julienco_3_20260624_125549,Julienco,1109,1108,0,0.033333
Julienco_4_20260624_125717,Julienco,1027,1026,0,0.033333
Julienco_5_20260624_125942,Julienco,1038,1037,0,0.033333
Julienco_7_20260624_130215,Julienco,831,830,0,0.033333
Julienco_8_20260624_130311,Julienco,841,840,0,0.033333
Leys_1_20260604_163147,Leys,791,790,0,0.033333
Leys_2_20260604_163417,Leys,742,741,0,0.033333
Leys_3_20260604_163535,Leys,998,997,0,0.033333
Leys_4_20260604_163704,Leys,990,989,0,0.033333
Leys_5_20260604_163854,Leys,868,867,0,0.033333
Maria_1_20260624_133852,Maria,1109,1108,0,0.033333
Maria_2_20260624_134005,Maria,844,843,0,0.033333
Maria_4_20260624_134233,Maria,828,827,0,0.033333
Melih_10_20260616_180515,Melih,1218,1217,0,0.033333
Melih_1_20260616_175140,Melih,784,783,0,0.033333
Melih_2_20260616_175310,Melih,990,989,0,0.033333
Melih_3_20260616_175418,Melih,1005,1004,0,0.033333
Melih_4_20260616_175523,Melih,1011,1010,0,0.033333
Melih_5_20260616_175612,Melih,982,981,0,0.033333
Melih_6_20260616_180104,Melih,939,938,0,0.033333
Melih_7_20260616_180202,Melih,1045,1044,0,0.033333
Melih_8_20260616_180307,Melih,996,995,0,0.033333
Melih_9_20260616_180402,Melih,971,970,0,0.033333
Miro_2_20260604_153451,Miro,749,748,0,0.033333
Miro_3_20260604_153609,Miro,715,714,0,0.033333
Paul_10_20260730_200732,Paul,937,936,0,0.033333
Paul_11_20260730_200816,Paul,901,900,0,0.033333
Paul_12_20260730_200900,Paul,953,952,0,0.033333
Paul_13_20260730_201414,Paul,867,866,0,0.033333
Paul_14_20260730_201501,Paul,927,926,0,0.033333
Paul_15_20260730_201546,Paul,997,996,0,0.033333
Paul_16_20260730_201647,Paul,883,882,0,0.033333
Paul_17_20260730_201734,Paul,791,790,0,0.033333
Paul_18_20260730_201826,Paul,960,959,0,0.033333
Paul_19_20260730_201912,Paul,1007,1006,0,0.033333
Paul_1_20260730_195810,Paul,823,822,0,0.033333
Paul_20_20260730_202000,Paul,873,872,0,0.033333
Paul_21_20260730_202043,Paul,997,996,0,0.033333
Paul_22_20260730_202129,Paul,945,944,0,0.033333
Paul_23_20260730_202216,Paul,804,803,0,0.033333
Paul_24_20260730_202257,Paul,967,966,0,0.033333
Paul_25_20260730_202344,Paul,754,753,0,0.033333
Paul_2_20260730_195858,Paul,866,865,0,0.033333
Paul_3_20260730_195956,Paul,827,826,0,0.033333
Paul_4_20260730_200057,Paul,889,888,0,0.033333
Paul_5_20260730_200140,Paul,827,826,0,0.033333
Paul_6_20260730_200221,Paul,974,973,0,0.033333
Paul_7_20260730_200314,Paul,833,832,0,0.033333
