split,participant,sequence_id,target_definition_version,capture_timestamp_basis,status,eligible,reasons,receiving_hand_id,receiving_hand,handover_start_timestamp_ns,handover_end_timestamp_ns,handover_event_start_timestamp_ns,handover_event_end_timestamp_ns,handover_duration_seconds,aggregation_start_timestamp_ns,aggregation_end_timestamp_ns,aggregation_event_start_timestamp_ns,aggregation_event_end_timestamp_ns,aggregation_capture_start_timestamp_ns,aggregation_capture_end_timestamp_ns,target_capture_timestamp_ns,target_capture_aligned_event_timestamp_ns,target_capture_lag_seconds,stable_window_lag_seconds,candidate_rows,candidate_unique_captures,valid_samples,valid_ratio,valid_span_seconds,position_p90_deviation_m,orientation_p90_deviation_deg,target_timestamp_semantics,future_endpoint_policy,future_handover_endpoint_rows,strictly_before_aggregation_handover_endpoint_rows,partially_overlapping_aggregation_handover_endpoint_rows,already_observed_handover_endpoint_rows,overlap_interpretation,target_x_m,target_y_m,target_z_m,target_qx,target_qy,target_qz,target_qw
test,Edu,Edu_10_20260616_150412,terminal_endpose_unique_hand_capture_v2,hand_timestamp_ns,accepted,True,,1,right,3130712220000,3137078886000,3130712220000,3137078886000,6.366666,3136578886000,3137078886000,3136578886000,3137078886000,3136603912000.0,3137003922000.0,3137003922000.0,3137012219000.0,0.074964,0.0,14,14,13,0.9285714285714286,0.40001,0.011562904702967574,2.7630297063361886,latest unique valid physical hand capture used by the accepted robust aggregation,endpoint timestamp_ns < target_capture_timestamp_ns,189.0,177.0,12.0,3.0,"Endpoints inside the aggregation-capture interval are terminal-state estimation with partial target evidence, not fully pre-aggregation forecasting. Endpoints at or after the final target capture are masked.",0.2387268841266632,0.8014732599258423,-0.10167603194713593,0.47628337144851685,0.5094305872917175,0.5249170660972595,0.48795151710510254
test,Edu,Edu_2_20260604_170420,terminal_endpose_unique_hand_capture_v2,hand_timestamp_ns,accepted,True,,1,right,7541112241000,7544012241000,7541112241000,7544012241000,2.9,7543512241000,7544012241000,7543512241000,7544012241000,7543537268000.0,7543970600000.0,7543970600000.0,7543978908000.0,0.041641,0.0,14,14,14,1.0,0.433332,0.04440059561612941,10.761929450422649,latest unique valid physical hand capture used by the accepted robust aggregation,endpoint timestamp_ns < target_capture_timestamp_ns,86.0,73.0,13.0,2.0,"Endpoints inside the aggregation-capture interval are terminal-state estimation with partial target evidence, not fully pre-aggregation forecasting. Endpoints at or after the final target capture are masked.",0.3222968578338623,0.6817772388458252,0.028194677084684372,-0.09989653527736664,0.36480414867401123,0.766560435295105,0.5189641118049622
test,Edu,Edu_3_20260604_170622,terminal_endpose_unique_hand_capture_v2,hand_timestamp_ns,accepted,True,,1,right,7666945573000,7670712239000,7666945573000,7670712239000,3.766666,7669445573000,7669945573000,7669445573000,7669945573000,7669477311000.0,7669943849000.0,7669943849000.0,7669945573000.0,0.76839,0.766666,15,15,15,1.0,0.466538,0.038162534506635155,11.979262508184878,latest unique valid physical hand capture used by the accepted robust aggregation,endpoint timestamp_ns < target_capture_timestamp_ns,90.0,76.0,14.0,24.0,"Endpoints inside the aggregation-capture interval are terminal-state estimation with partial target evidence, not fully pre-aggregation forecasting. Endpoints at or after the final target capture are masked.",0.11493513733148575,0.40598538517951965,0.09133811295032501,-0.40391111373901367,-0.39222756028175354,0.3483380079269409,0.7494491338729858
test,Edu,Edu_4_20260604_170837,terminal_endpose_unique_hand_capture_v2,hand_timestamp_ns,accepted,True,,1,right,7807378905000,7811678904000,7807378905000,7811678904000,4.299999,7811178904000,7811678904000,7811178904000,7811678904000,7811211912000.0,7811578477000.0,7811578477000.0,7811578904000.0,0.100427,0.0,15,15,12,0.8,0.366565,0.020515361660276153,5.009550274338655,latest unique valid physical hand capture used by the accepted robust aggregation,endpoint timestamp_ns < target_capture_timestamp_ns,126.0,115.0,11.0,4.0,"Endpoints inside the aggregation-capture interval are terminal-state estimation with partial target evidence, not fully pre-aggregation forecasting. Endpoints at or after the final target capture are masked.",0.34674984216690063,0.6708824634552002,-0.0012553257402032614,-0.18162120878696442,0.24818308651447296,0.7678987383842468,0.5619167685508728
test,Edu,Edu_5_20260604_170944,terminal_endpose_unique_hand_capture_v2,hand_timestamp_ns,accepted,True,,1,right,7873045570000,7878278903000,7873045570000,7878278903000,5.233333,7877778903000,7878278903000,7877778903000,7878278903000,7877803928000.0,7878203928000.0,7878203928000.0,7878212236000.0,0.074975,0.0,13,13,12,0.9230769230769231,0.4,0.005847860713144129,1.4944880332683104,latest unique valid physical hand capture used by the accepted robust aggregation,endpoint timestamp_ns < target_capture_timestamp_ns,155.0,143.0,12.0,3.0,"Endpoints inside the aggregation-capture interval are terminal-state estimation with partial target evidence, not fully pre-aggregation forecasting. Endpoints at or after the final target capture are masked.",0.32645323872566223,0.6536480188369751,-0.0030596726574003696,-0.1554616242647171,0.19236429035663605,0.857928454875946,0.45031818747520447
test,Edu,Edu_6_20260616_145740,terminal_endpose_unique_hand_capture_v2,hand_timestamp_ns,accepted,True,,1,right,2735345557000,2745678889000,2735345557000,2745678889000,10.333332,2745178889000,2745678889000,2745178889000,2745678889000,2745203914000.0,2745570591000.0,2745570591000.0,2745578889000.0,0.108298,0.0,12,12,12,1.0,0.366677,0.020860459817814182,5.869012610458417,latest unique valid physical hand capture used by the accepted robust aggregation,endpoint timestamp_ns < target_capture_timestamp_ns,307.0,296.0,11.0,4.0,"Endpoints inside the aggregation-capture interval are terminal-state estimation with partial target evidence, not fully pre-aggregation forecasting. Endpoints at or after the final target capture are masked.",0.4133933484554291,0.569179892539978,-0.07046909630298615,0.08895720541477203,0.4663388431072235,0.7800748348236084,0.40755119919776917
test,Edu,Edu_7_20260616_145927,terminal_endpose_unique_hand_capture_v2,hand_timestamp_ns,accepted,True,,1,right,2842512223000,2846412222000,2842512223000,2846412222000,3.899999,2845912222000,2846412222000,2845912222000,2846412222000,2845937247000.0,2846337247000.0,2846337247000.0,2846345556000.0,0.074975,0.0,15,15,13,0.8666666666666667,0.4,0.02914841312491853,4.456459883224971,latest unique valid physical hand capture used by the accepted robust aggregation,endpoint timestamp_ns < target_capture_timestamp_ns,115.0,103.0,12.0,3.0,"Endpoints inside the aggregation-capture interval are terminal-state estimation with partial target evidence, not fully pre-aggregation forecasting. Endpoints at or after the final target capture are masked.",0.23826007544994354,0.683784544467926,-0.09152497351169586,0.3047759532928467,0.5419085621833801,0.537368893623352,0.5698082447052002
test,Edu,Edu_8_20260616_150108,terminal_endpose_unique_hand_capture_v2,hand_timestamp_ns,accepted,True,,1,right,2940545555000,2944545555000,2940545555000,2944545555000,4.0,2944045555000,2944545555000,2944045555000,2944545555000,2944076476000.0,2944443041000.0,2944443041000.0,2944445555000.0,0.102514,0.0,15,15,12,0.8,0.366565,0.018774050041713192,3.3748106955345634,latest unique valid physical hand capture used by the accepted robust aggregation,endpoint timestamp_ns < target_capture_timestamp_ns,117.0,106.0,11.0,4.0,"Endpoints inside the aggregation-capture interval are terminal-state estimation with partial target evidence, not fully pre-aggregation forecasting. Endpoints at or after the final target capture are masked.",0.21334010362625122,0.7277199029922485,-0.09970016777515411,0.2715410590171814,0.5918511748313904,0.5580874085426331,0.5143112540245056
test,Edu,Edu_9_20260616_150247,terminal_endpose_unique_hand_capture_v2,hand_timestamp_ns,rejected,False,insufficient_valid_samples;low_valid_ratio;insufficient_valid_span,1,right,3043078887000,3046745554000,3043078887000,3046745554000,3.666667,3046245554000,3046745554000,3046245554000,3046745554000,,,,,,0.0,13,13,0,0.0,0.0,,,,,,,,,,,,,,,,
test,Jona,Jona_1_20260616_181413,terminal_endpose_unique_hand_capture_v2,hand_timestamp_ns,accepted,True,,1,right,1786278904000,1790478904000,1786278904000,1790478904000,4.2,1789978904000,1790478904000,1789978904000,1790478904000,1790003930000.0,1790403931000.0,1790403931000.0,1790412237000.0,0.074973,0.0,15,15,13,0.8666666666666667,0.400001,0.018272852189456238,6.4477594835261,latest unique valid physical hand capture used by the accepted robust aggregation,endpoint timestamp_ns < target_capture_timestamp_ns,124.0,112.0,12.0,3.0,"Endpoints inside the aggregation-capture interval are terminal-state estimation with partial target evidence, not fully pre-aggregation forecasting. Endpoints at or after the final target capture are masked.",0.09426361322402954,0.3005768954753876,0.12050290405750275,-0.44601747393608093,-0.1729295402765274,0.4352027475833893,0.7627334594726562
