level,group,domain,method,samples,denominator,coverage,accuracy,macro_f1,macro_f1_supported,position_mean_cm,position_median_cm,position_rmse_cm,orientation_mean_deg,orientation_median_deg,position_mean_difference_cm,position_median_difference_cm,orientation_mean_difference_deg,learned_win_fraction,estimate,ci_lower,ci_upper,status,metric_contributing_clusters,valid_replicate_fraction
window,all,classification,intention,2199,2199.0,1.0,0.8790359254206458,0.8309733709023904,0.8309733709023904,,,,,,,,,,,,,,,
window,all,classification,assistance,2199,2199.0,1.0,0.8999545247839927,0.885932150638033,0.885932150638033,,,,,,,,,,,,,,,
window,all,classification,assistance_type_given_ground_truth_assistance,647,647.0,1.0,0.9227202472952086,0.9221577346577345,0.9221577346577345,,,,,,,,,,,,,,,
window,all,classification,receiving_hand_given_ground_truth_handover,304,304.0,1.0,0.9605263157894737,0.9506493506493507,0.9506493506493507,,,,,,,,,,,,,,,
window,all,pose,learned_end_to_end,217,217.0,1.0,,,,15.579662291970648,8.850831038633983,20.82515574875873,44.62282301558878,20.7807556205536,,,,,,,,,,
window,all,pose,learned_oracle_hand,214,217.0,0.9861751152073732,,,,15.265243462739354,8.533207782598856,20.47995749954976,41.412966726651696,19.747531891555425,,,,,,,,,,
window,all,pose,persistence,214,217.0,0.9861751152073732,,,,14.965275549312453,6.707455036400161,22.50912885096108,42.4043839226949,15.658195619648684,,,,,,,,,,
window,all,pose,constant_velocity,213,217.0,0.9815668202764977,,,,33.49035494558316,28.088438737903104,47.923339307254395,42.04896856236211,15.505820107708042,,,,,,,,,,
window,all,pose_fair_common,learned_oracle_hand,213,217.0,0.9815668202764977,,,,15.176632279308102,8.409381579435436,20.394263288188725,41.16027500453339,19.73458576245321,,,,,,,,,,
window,all,pose_fair_common,persistence,213,217.0,0.9815668202764977,,,,14.80422205700099,6.342896434320831,22.30791016833363,42.04896856236211,15.505820107708042,,,,,,,,,,
window,all,pose_fair_common,constant_velocity,213,217.0,0.9815668202764977,,,,33.49035494558316,28.088438737903104,47.923339307254395,42.04896856236211,15.505820107708042,,,,,,,,,,
window,all,paired_pose_difference,learned_end_to_end_minus_persistence,214,217.0,0.9861751152073732,,,,,,,,,0.24045888826084943,0.8316883515111796,0.6830284305960571,0.43457943925233644,,,,,,
window,all,paired_pose_difference,learned_end_to_end_minus_constant_velocity,213,217.0,0.9815668202764977,,,,,,,,,-18.37017061395698,-5.894914911154899,0.48599036849480465,0.676056338028169,,,,,,
window,all,paired_pose_difference,learned_oracle_hand_minus_persistence,214,217.0,0.9861751152073732,,,,,,,,,0.29996791342689894,0.8316883515111796,-0.9914171960432016,0.43457943925233644,,,,,,
window,all,paired_pose_difference,learned_oracle_hand_minus_constant_velocity,213,217.0,0.9815668202764977,,,,,,,,,-18.313722666275062,-5.713340537627982,-0.8886935578287227,0.676056338028169,,,,,,
sequence,Edu_10_20260616_150412,classification,intention,87,87.0,1.0,0.6091954022988506,0.6152258597115806,0.6152258597115806,,,,,,,,,,,,,,,
sequence,Edu_10_20260616_150412,classification,assistance,87,87.0,1.0,0.6666666666666666,0.657805506578055,0.657805506578055,,,,,,,,,,,,,,,
sequence,Edu_10_20260616_150412,classification,assistance_type_given_ground_truth_assistance,36,36.0,1.0,0.8611111111111112,0.8601398601398601,0.8601398601398601,,,,,,,,,,,,,,,
sequence,Edu_10_20260616_150412,classification,receiving_hand_given_ground_truth_handover,19,19.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,
sequence,Edu_10_20260616_150412,pose,learned_end_to_end,16,16.0,1.0,,,,23.4109121006601,22.832349355243327,28.27185350679192,45.36782036225078,24.348433910352327,,,,,,,,,,
sequence,Edu_10_20260616_150412,pose,learned_oracle_hand,16,16.0,1.0,,,,23.4109121006601,22.832349355243327,28.27185350679192,45.36782036225078,24.348433910352327,,,,,,,,,,
sequence,Edu_10_20260616_150412,pose,persistence,16,16.0,1.0,,,,25.566901574789515,25.04009698600112,32.05837128446061,63.98403523484791,47.030379780373465,,,,,,,,,,
sequence,Edu_10_20260616_150412,pose,constant_velocity,16,16.0,1.0,,,,53.98047030998142,53.48416582047891,62.949131207376006,63.98403523484791,47.030379780373465,,,,,,,,,,
sequence,Edu_10_20260616_150412,pose_fair_common,learned_oracle_hand,16,16.0,1.0,,,,23.4109121006601,22.832349355243327,28.27185350679192,45.36782036225078,24.348433910352327,,,,,,,,,,
sequence,Edu_10_20260616_150412,pose_fair_common,persistence,16,16.0,1.0,,,,25.566901574789515,25.04009698600112,32.05837128446061,63.98403523484791,47.030379780373465,,,,,,,,,,
sequence,Edu_10_20260616_150412,pose_fair_common,constant_velocity,16,16.0,1.0,,,,53.98047030998142,53.48416582047891,62.949131207376006,63.98403523484791,47.030379780373465,,,,,,,,,,
sequence,Edu_10_20260616_150412,paired_pose_difference,learned_end_to_end_minus_persistence,16,16.0,1.0,,,,,,,,,-2.1559894741294197,-0.4566776107252113,-18.61621487259713,0.625,,,,,,
sequence,Edu_10_20260616_150412,paired_pose_difference,learned_end_to_end_minus_constant_velocity,16,16.0,1.0,,,,,,,,,-30.56955820932133,-16.40202314422752,-18.61621487259713,0.9375,,,,,,
sequence,Edu_10_20260616_150412,paired_pose_difference,learned_oracle_hand_minus_persistence,16,16.0,1.0,,,,,,,,,-2.1559894741294197,-0.4566776107252113,-18.61621487259713,0.625,,,,,,
sequence,Edu_10_20260616_150412,paired_pose_difference,learned_oracle_hand_minus_constant_velocity,16,16.0,1.0,,,,,,,,,-30.56955820932133,-16.40202314422752,-18.61621487259713,0.9375,,,,,,
sequence,Edu_2_20260604_170420,classification,intention,62,62.0,1.0,0.967741935483871,0.945288753799392,0.945288753799392,,,,,,,,,,,,,,,
sequence,Edu_2_20260604_170420,classification,assistance,62,62.0,1.0,0.967741935483871,0.9560283687943263,0.9560283687943263,,,,,,,,,,,,,,,
sequence,Edu_2_20260604_170420,classification,assistance_type_given_ground_truth_assistance,16,16.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
