sample_key,participant,sequence_id,endpoint_timestamp_ns,target_intention,predicted_intention,modality_gaze_weight,modality_hands_weight,modality_objects_weight,modality_vio_weight,modality_gaze_available,modality_hands_available,modality_objects_available,modality_vio_available
test|Edu_10_20260616_150412|3106145555000,Edu,Edu_10_20260616_150412,3106145555000,continue,handover,0.348211795091629,0.2187593430280685,0.1673105508089065,0.2657183110713959,True,True,True,True
test|Edu_10_20260616_150412|3106478889000,Edu,Edu_10_20260616_150412,3106478889000,continue,continue,0.3411588370800018,0.2200406789779663,0.1657324880361557,0.2730679512023926,True,True,True,True
test|Edu_10_20260616_150412|3106812222000,Edu,Edu_10_20260616_150412,3106812222000,continue,continue,0.3388193249702453,0.2244278341531753,0.1693001985549926,0.2674525678157806,True,True,True,True
test|Edu_10_20260616_150412|3107145555000,Edu,Edu_10_20260616_150412,3107145555000,continue,continue,0.3380672931671142,0.2284866720438003,0.1736944615840912,0.2597515881061554,True,True,True,True
test|Edu_10_20260616_150412|3107478889000,Edu,Edu_10_20260616_150412,3107478889000,continue,continue,0.3305591642856598,0.2324422746896743,0.1844581365585327,0.2525404691696167,True,True,True,True
test|Edu_10_20260616_150412|3107812222000,Edu,Edu_10_20260616_150412,3107812222000,continue,continue,0.3225964605808258,0.231475830078125,0.1918369680643081,0.2540907263755798,True,True,True,True
test|Edu_10_20260616_150412|3108145555000,Edu,Edu_10_20260616_150412,3108145555000,continue,continue,0.3194105923175812,0.2374639362096786,0.1934509426355362,0.2496745139360427,True,True,True,True
test|Edu_10_20260616_150412|3108478889000,Edu,Edu_10_20260616_150412,3108478889000,continue,continue,0.3276863694190979,0.2420050799846649,0.1955489069223404,0.2347596287727356,True,True,True,True
test|Edu_10_20260616_150412|3108812222000,Edu,Edu_10_20260616_150412,3108812222000,continue,continue,0.3307023644447326,0.2457315027713775,0.1881988048553466,0.2353672981262207,True,True,True,True
test|Edu_10_20260616_150412|3109145555000,Edu,Edu_10_20260616_150412,3109145555000,continue,continue,0.3313060104846954,0.2482697963714599,0.1864517480134964,0.2339724600315094,True,True,True,True
test|Edu_10_20260616_150412|3109478888000,Edu,Edu_10_20260616_150412,3109478888000,continue,continue,0.3330127298831939,0.2498116195201873,0.1879026293754577,0.2292729616165161,True,True,True,True
