level,group,domain,method,samples,denominator,coverage,accuracy,macro_f1,macro_f1_supported,position_mean_cm,position_median_cm,position_rmse_cm,orientation_mean_deg,orientation_median_deg,position_mean_difference_cm,position_median_difference_cm,orientation_mean_difference_deg,learned_win_fraction,estimate,ci_lower,ci_upper,status,metric_contributing_clusters,valid_replicate_fraction
window,all,classification,intention,2199,2199.0,1.0,0.888130968622101,0.8375835467990379,0.8375835467990379,,,,,,,,,,,,,,,
window,all,classification,assistance,2199,2199.0,1.0,0.9095043201455207,0.8951352802117418,0.8951352802117418,,,,,,,,,,,,,,,
window,all,classification,assistance_type_given_ground_truth_assistance,647,647.0,1.0,0.9149922720247295,0.9148938714499252,0.9148938714499252,,,,,,,,,,,,,,,
window,all,classification,receiving_hand_given_ground_truth_handover,304,304.0,1.0,0.9144736842105263,0.893073593073593,0.893073593073593,,,,,,,,,,,,,,,
window,all,pose,learned_end_to_end,212,217.0,0.9769585253456221,,,,15.306812001412302,10.178559447245082,19.689878000434163,44.346593899165775,21.302642794831876,,,,,,,,,,
window,all,pose,learned_oracle_hand,214,217.0,0.9861751152073732,,,,15.412739703273589,10.006991554108549,19.90182650101062,41.43934893497413,21.125577531485135,,,,,,,,,,
window,all,pose,persistence,214,217.0,0.9861751152073732,,,,14.965275549312453,6.707455036400161,22.50912885096108,42.4043839226949,15.658195619648684,,,,,,,,,,
window,all,pose,constant_velocity,213,217.0,0.9815668202764977,,,,33.49035494558316,28.088438737903104,47.923339307254395,42.04896856236211,15.505820107708042,,,,,,,,,,
window,all,pose_fair_common,learned_oracle_hand,213,217.0,0.9815668202764977,,,,15.389035051231751,9.911442874801244,19.89916020561676,41.08965879060072,21.10460288519213,,,,,,,,,,
window,all,pose_fair_common,persistence,213,217.0,0.9815668202764977,,,,14.80422205700099,6.342896434320831,22.30791016833363,42.04896856236211,15.505820107708042,,,,,,,,,,
window,all,pose_fair_common,constant_velocity,213,217.0,0.9815668202764977,,,,33.49035494558316,28.088438737903104,47.923339307254395,42.04896856236211,15.505820107708042,,,,,,,,,,
window,all,paired_pose_difference,learned_end_to_end_minus_persistence,209,217.0,0.9631336405529954,,,,,,,,,0.2132974490297988,1.8094106513664134,0.3117803548203079,0.3684210526315789,,,,,,
window,all,paired_pose_difference,learned_end_to_end_minus_constant_velocity,208,217.0,0.9585253456221198,,,,,,,,,-17.271541670608507,-4.912698512417251,0.07806774598740582,0.6298076923076923,,,,,,
window,all,paired_pose_difference,learned_oracle_hand_minus_persistence,214,217.0,0.9861751152073732,,,,,,,,,0.44746415396113715,1.7339771498368726,-0.9650349877207708,0.3691588785046729,,,,,,
window,all,paired_pose_difference,learned_oracle_hand_minus_constant_velocity,213,217.0,0.9815668202764977,,,,,,,,,-18.10131989435141,-5.310124984688388,-0.9593097717613892,0.6384976525821596,,,,,,
