level,group,domain,method,samples,denominator,coverage,accuracy,macro_f1,macro_f1_supported,position_mean_cm,position_median_cm,position_rmse_cm,orientation_mean_deg,orientation_median_deg,position_mean_difference_cm,position_median_difference_cm,orientation_mean_difference_deg,learned_win_fraction,estimate,ci_lower,ci_upper,status,metric_contributing_clusters,valid_replicate_fraction
window,all,classification,intention,2199,2199.0,1.0,0.8990450204638472,0.8518173901581528,0.8518173901581528,,,,,,,,,,,,,,,
window,all,classification,assistance,2199,2199.0,1.0,0.924056389267849,0.9133174004638236,0.9133174004638236,,,,,,,,,,,,,,,
window,all,classification,assistance_type_given_ground_truth_assistance,647,647.0,1.0,0.9088098918083463,0.9087226721567446,0.9087226721567446,,,,,,,,,,,,,,,
window,all,classification,receiving_hand_given_ground_truth_handover,304,304.0,1.0,0.8980263157894737,0.8700765147859655,0.8700765147859655,,,,,,,,,,,,,,,
window,all,pose,learned_end_to_end,213,217.0,0.9815668202764977,,,,15.777512210335091,8.454376858282153,22.229353112151657,44.28686640829197,18.75241573599342,,,,,,,,,,
window,all,pose,learned_oracle_hand,214,217.0,0.9861751152073732,,,,15.118557856073503,8.051383883777767,21.372045652764257,40.67358238110034,18.373982563697528,,,,,,,,,,
window,all,pose,persistence,214,217.0,0.9861751152073732,,,,14.965275549312453,6.707455036400161,22.50912885096108,42.4043839226949,15.658195619648684,,,,,,,,,,
window,all,pose,constant_velocity,213,217.0,0.9815668202764977,,,,33.49035494558316,28.088438737903104,47.923339307254395,42.04896856236211,15.505820107708042,,,,,,,,,,
window,all,pose_fair_common,learned_oracle_hand,213,217.0,0.9815668202764977,,,,14.963618397375596,7.648444005522805,21.166894339877626,40.334770768156154,18.061237311344925,,,,,,,,,,
window,all,pose_fair_common,persistence,213,217.0,0.9815668202764977,,,,14.80422205700099,6.342896434320831,22.30791016833363,42.04896856236211,15.505820107708042,,,,,,,,,,
window,all,pose_fair_common,constant_velocity,213,217.0,0.9815668202764977,,,,33.49035494558316,28.088438737903104,47.923339307254395,42.04896856236211,15.505820107708042,,,,,,,,,,
window,all,paired_pose_difference,learned_end_to_end_minus_persistence,210,217.0,0.967741935483871,,,,,,,,,0.38524612645197626,0.43986323438650465,0.9205838591081688,0.4238095238095238,,,,,,
window,all,paired_pose_difference,learned_end_to_end_minus_constant_velocity,209,217.0,0.9631336405529954,,,,,,,,,-17.43419624723648,-4.882473068203691,0.816606473887551,0.7272727272727273,,,,,,
window,all,paired_pose_difference,learned_oracle_hand_minus_persistence,214,217.0,0.9861751152073732,,,,,,,,,0.15328230676104798,0.43899124222168606,-1.730801541594551,0.4205607476635514,,,,,,
window,all,paired_pose_difference,learned_oracle_hand_minus_constant_velocity,213,217.0,0.9815668202764977,,,,,,,,,-18.526736548207566,-4.602938961934793,-1.7141977942059583,0.7323943661971831,,,,,,
sequence,Edu_10_20260616_150412,classification,intention,87,87.0,1.0,0.8390804597701149,0.8451127379698807,0.8451127379698807,,,,,,,,,,,,,,,
sequence,Edu_10_20260616_150412,classification,assistance,87,87.0,1.0,0.8390804597701149,0.8390591966173361,0.8390591966173361,,,,,,,,,,,,,,,
sequence,Edu_10_20260616_150412,classification,assistance_type_given_ground_truth_assistance,36,36.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
sequence,Edu_10_20260616_150412,classification,receiving_hand_given_ground_truth_handover,19,19.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,
sequence,Edu_10_20260616_150412,pose,learned_end_to_end,16,16.0,1.0,,,,24.59623898841915,24.67319454223233,30.085963270185466,57.77015923774289,43.13805598084136,,,,,,,,,,
sequence,Edu_10_20260616_150412,pose,learned_oracle_hand,16,16.0,1.0,,,,24.59623898841915,24.67319454223233,30.085963270185466,57.77015923774289,43.13805598084136,,,,,,,,,,
sequence,Edu_10_20260616_150412,pose,persistence,16,16.0,1.0,,,,25.566901574789515,25.04009698600112,32.05837128446061,63.98403523484791,47.030379780373465,,,,,,,,,,
sequence,Edu_10_20260616_150412,pose,constant_velocity,16,16.0,1.0,,,,53.98047030998142,53.48416582047891,62.949131207376006,63.98403523484791,47.030379780373465,,,,,,,,,,
sequence,Edu_10_20260616_150412,pose_fair_common,learned_oracle_hand,16,16.0,1.0,,,,24.59623898841915,24.67319454223233,30.085963270185466,57.77015923774289,43.13805598084136,,,,,,,,,,
sequence,Edu_10_20260616_150412,pose_fair_common,persistence,16,16.0,1.0,,,,25.566901574789515,25.04009698600112,32.05837128446061,63.98403523484791,47.030379780373465,,,,,,,,,,
sequence,Edu_10_20260616_150412,pose_fair_common,constant_velocity,16,16.0,1.0,,,,53.98047030998142,53.48416582047891,62.949131207376006,63.98403523484791,47.030379780373465,,,,,,,,,,
sequence,Edu_10_20260616_150412,paired_pose_difference,learned_end_to_end_minus_persistence,16,16.0,1.0,,,,,,,,,-0.970662586370369,-0.5227102861081452,-6.21387599710502,0.5625,,,,,,
sequence,Edu_10_20260616_150412,paired_pose_difference,learned_end_to_end_minus_constant_velocity,16,16.0,1.0,,,,,,,,,-29.38423132156227,-12.76583561386318,-6.21387599710502,0.9375,,,,,,
sequence,Edu_10_20260616_150412,paired_pose_difference,learned_oracle_hand_minus_persistence,16,16.0,1.0,,,,,,,,,-0.970662586370369,-0.5227102861081452,-6.21387599710502,0.5625,,,,,,
sequence,Edu_10_20260616_150412,paired_pose_difference,learned_oracle_hand_minus_constant_velocity,16,16.0,1.0,,,,,,,,,-29.38423132156227,-12.76583561386318,-6.21387599710502,0.9375,,,,,,
sequence,Edu_2_20260604_170420,classification,intention,62,62.0,1.0,0.9838709677419355,0.9581699346405229,0.9581699346405229,,,,,,,,,,,,,,,
sequence,Edu_2_20260604_170420,classification,assistance,62,62.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
sequence,Edu_2_20260604_170420,classification,assistance_type_given_ground_truth_assistance,16,16.0,1.0,0.9375,0.9372549019607843,0.9372549019607843,,,,,,,,,,,,,,,
sequence,Edu_2_20260604_170420,classification,receiving_hand_given_ground_truth_handover,8,8.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,
sequence,Edu_2_20260604_170420,pose,learned_end_to_end,5,5.0,1.0,,,,19.488620440936796,18.96290401399697,22.490558650071048,62.168170813486256,82.47791961029048,,,,,,,,,,
sequence,Edu_2_20260604_170420,pose,learned_oracle_hand,5,5.0,1.0,,,,19.488620440936796,18.96290401399697,22.490558650071048,62.168170813486256,82.47791961029048,,,,,,,,,,
sequence,Edu_2_20260604_170420,pose,persistence,5,5.0,1.0,,,,21.486651169759398,20.14640446952149,24.954687985105938,74.19832838081501,85.58061361997649,,,,,,,,,,
sequence,Edu_2_20260604_170420,pose,constant_velocity,5,5.0,1.0,,,,41.63753319182213,36.57006626742291,43.64996561285346,74.19832838081501,85.58061361997649,,,,,,,,,,
