session,source,records,measurement,samples,mean_ms,median_ms,std_ms,p95_ms,p99_ms,max_ms
live_test_seed43_01,Training/live_runs/dataset_v2_20260802_n214_5d136a34/live_test_seed43_01/predictions.jsonl,724,intention_inference,724.0,3.383818042855446,2.29350000154227,7.579988649475199,3.701712550537196,65.74268625096006,75.44754199989256
live_test_seed43_01,Training/live_runs/dataset_v2_20260802_n214_5d136a34/live_test_seed43_01/predictions.jsonl,724,pose_inference,74.0,1.9565444867161255,1.8400415010546567,0.34125422612744005,2.5729210508870892,2.9004655888274993,3.220874998078216
live_test_seed43_01,Training/live_runs/dataset_v2_20260802_n214_5d136a34/live_test_seed43_01/predictions.jsonl,724,feature_to_output,724.0,4.696080559392265,3.0934160000000004,8.823029176717515,6.622803700000003,69.22604657,79.82475
live_test_seed43_01,Training/live_runs/dataset_v2_20260802_n214_5d136a34/live_test_seed43_01/predictions.jsonl,724,gaze_callback_to_output,724.0,4.699112660220995,3.0953540000000004,8.82317706707169,6.627033150000003,69.22942224999998,79.827209
old_script_test,Training/live_runs/dataset_v2_20260802_n214_5d136a34/old_script_test/predictions.jsonl,199,intention_inference,199.0,3.8612112714246503,2.3395410025841556,8.88266663470766,3.827308001928031,65.167961339248,66.80425000013201
old_script_test,Training/live_runs/dataset_v2_20260802_n214_5d136a34/old_script_test/predictions.jsonl,199,pose_inference,94.0,2.047345266119203,1.999624999371008,0.38278475409381996,2.772302201083221,3.0444026309851293,3.4621670019987505
old_script_test,Training/live_runs/dataset_v2_20260802_n214_5d136a34/old_script_test/predictions.jsonl,199,feature_to_output,199.0,5.669913085427136,4.330083,9.077149608243227,7.442204199999996,67.63716550000001,68.733125
old_script_test,Training/live_runs/dataset_v2_20260802_n214_5d136a34/old_script_test/predictions.jsonl,199,gaze_callback_to_output,199.0,5.672935296482412,4.333208,9.077805867145821,7.446054799999996,67.6412955,68.737375
original_live_script,Training/live_runs/dataset_v2_20260802_n214_5d136a34/original_live_script/predictions.jsonl,193,intention_inference,193.0,4.532039554458964,2.253667000331916,11.886030650697291,3.6062920014956004,72.64761772094054,77.70945800075424
original_live_script,Training/live_runs/dataset_v2_20260802_n214_5d136a34/original_live_script/predictions.jsonl,193,pose_inference,23.0,4.832416695970333,1.9702910030900966,13.615165789633739,2.690670599258737,54.165623781082175,68.67583400162403
original_live_script,Training/live_runs/dataset_v2_20260802_n214_5d136a34/original_live_script/predictions.jsonl,193,feature_to_output,,,,,,,
original_live_script,Training/live_runs/dataset_v2_20260802_n214_5d136a34/original_live_script/predictions.jsonl,193,gaze_callback_to_output,,,,,,,
