platform,measurement,latency_ms
mac_cpu,model_forward,1.371333
mac_cpu,model_forward,1.134291
mac_cpu,model_forward,1.162834
mac_cpu,model_forward,1.115625
mac_cpu,model_forward,1.120375
mac_cpu,model_forward,1.158625
mac_cpu,model_forward,1.069709
mac_cpu,model_forward,1.123125
mac_cpu,model_forward,1.08225
mac_cpu,model_forward,1.134333
mac_cpu,model_forward,1.110916
mac_cpu,model_forward,1.124583
mac_cpu,model_forward,1.14475
mac_cpu,model_forward,1.123125
mac_cpu,model_forward,1.107166
mac_cpu,model_forward,1.134
mac_cpu,model_forward,1.14925
mac_cpu,model_forward,1.115
mac_cpu,model_forward,1.115709
mac_cpu,model_forward,1.090334
mac_cpu,model_forward,1.114167
mac_cpu,model_forward,1.09975
mac_cpu,model_forward,1.110209
mac_cpu,model_forward,1.097375
mac_cpu,model_forward,1.131
mac_cpu,model_forward,1.087792
mac_cpu,model_forward,1.08925
mac_cpu,model_forward,1.095541
mac_cpu,model_forward,1.107708
mac_cpu,model_forward,1.096333
mac_cpu,model_forward,1.164709
mac_cpu,model_forward,1.250708
mac_cpu,model_forward,1.094792
mac_cpu,model_forward,1.116375
mac_cpu,model_forward,1.106833
mac_cpu,model_forward,1.122834
mac_cpu,model_forward,1.115958
mac_cpu,model_forward,1.124459
mac_cpu,model_forward,1.086875
mac_cpu,model_forward,1.131084
mac_cpu,model_forward,1.098709
mac_cpu,model_forward,1.107583
mac_cpu,model_forward,1.1195
mac_cpu,model_forward,1.103958
mac_cpu,model_forward,1.093166
mac_cpu,model_forward,1.126417
mac_cpu,model_forward,1.120458
mac_cpu,model_forward,1.160208
mac_cpu,model_forward,1.140791
mac_cpu,model_forward,1.101125
mac_cpu,model_forward,1.099125
mac_cpu,model_forward,1.081417
mac_cpu,model_forward,1.121833
mac_cpu,model_forward,1.116541
mac_cpu,model_forward,1.087042
mac_cpu,model_forward,1.097083
mac_cpu,model_forward,1.109083
mac_cpu,model_forward,1.0845
mac_cpu,model_forward,1.12875
mac_cpu,model_forward,1.111166
mac_cpu,model_forward,1.11275
mac_cpu,model_forward,1.271834
mac_cpu,model_forward,1.107666
mac_cpu,model_forward,1.134292
mac_cpu,model_forward,1.127
mac_cpu,model_forward,1.106834
mac_cpu,model_forward,1.086792
mac_cpu,model_forward,1.109334
mac_cpu,model_forward,1.112958
mac_cpu,model_forward,1.0995
mac_cpu,model_forward,1.23675
mac_cpu,model_forward,1.0935
mac_cpu,model_forward,1.11475
mac_cpu,model_forward,1.084292
mac_cpu,model_forward,1.1045
mac_cpu,model_forward,1.143208
mac_cpu,model_forward,1.138709
mac_cpu,model_forward,1.105417
mac_cpu,model_forward,1.110666
mac_cpu,model_forward,1.088834
mac_cpu,model_forward,1.127792
mac_cpu,model_forward,1.098125
mac_cpu,model_forward,1.118583
mac_cpu,model_forward,1.114
mac_cpu,model_forward,1.127
mac_cpu,model_forward,1.137292
mac_cpu,model_forward,1.081084
mac_cpu,model_forward,1.110625
mac_cpu,model_forward,1.068667
mac_cpu,model_forward,1.094667
mac_cpu,model_forward,1.094375
mac_cpu,model_forward,1.154583
mac_cpu,model_forward,1.224417
mac_cpu,model_forward,1.213833
mac_cpu,model_forward,1.138667
mac_cpu,model_forward,1.089417
mac_cpu,model_forward,1.132125
mac_cpu,model_forward,1.140583
mac_cpu,model_forward,1.101042
mac_cpu,model_forward,1.337042
mac_cpu,model_forward,1.1315
mac_cpu,model_forward,1.114833
mac_cpu,model_forward,1.135792
mac_cpu,model_forward,1.133292
mac_cpu,model_forward,1.139458
mac_cpu,model_forward,1.107709
mac_cpu,model_forward,1.100334
mac_cpu,model_forward,1.120792
mac_cpu,model_forward,1.126042
mac_cpu,model_forward,1.115083
mac_cpu,model_forward,1.101333
mac_cpu,model_forward,1.126833
mac_cpu,model_forward,1.095333
mac_cpu,model_forward,1.091667
mac_cpu,model_forward,1.11225
mac_cpu,model_forward,1.153458
mac_cpu,model_forward,1.169291
mac_cpu,model_forward,1.20575
mac_cpu,model_forward,1.095375
mac_cpu,model_forward,1.082042
mac_cpu,model_forward,1.112
mac_cpu,model_forward,1.095292
mac_cpu,model_forward,1.146208
mac_cpu,model_forward,1.188334
mac_cpu,model_forward,1.101209
mac_cpu,model_forward,1.097042
mac_cpu,model_forward,1.095791
mac_cpu,model_forward,1.089542
mac_cpu,model_forward,1.12475
mac_cpu,model_forward,1.136125
mac_cpu,model_forward,1.114667
mac_cpu,model_forward,1.078959
mac_cpu,model_forward,1.079042
mac_cpu,model_forward,1.083458
mac_cpu,model_forward,1.092083
mac_cpu,model_forward,1.120333
mac_cpu,model_forward,1.114125
mac_cpu,model_forward,1.123583
mac_cpu,model_forward,1.129042
mac_cpu,model_forward,1.09825
mac_cpu,model_forward,1.093125
mac_cpu,model_forward,1.084334
mac_cpu,model_forward,1.122166
mac_cpu,model_forward,1.075
mac_cpu,model_forward,1.124208
mac_cpu,model_forward,1.095542
mac_cpu,model_forward,1.08925
mac_cpu,model_forward,1.100709
mac_cpu,model_forward,1.072875
mac_cpu,model_forward,1.094041
mac_cpu,model_forward,1.06925
mac_cpu,model_forward,1.105959
mac_cpu,model_forward,1.111167
mac_cpu,model_forward,1.097334
mac_cpu,model_forward,1.089125
mac_cpu,model_forward,1.203792
mac_cpu,model_forward,1.114291
mac_cpu,model_forward,1.092208
mac_cpu,model_forward,1.128791
mac_cpu,model_forward,1.141
mac_cpu,model_forward,1.115875
mac_cpu,model_forward,1.119375
mac_cpu,model_forward,1.102625
mac_cpu,model_forward,1.093833
mac_cpu,model_forward,1.1025
mac_cpu,model_forward,1.088584
mac_cpu,model_forward,1.131042
mac_cpu,model_forward,1.102875
mac_cpu,model_forward,1.101125
mac_cpu,model_forward,1.095166
mac_cpu,model_forward,1.082459
mac_cpu,model_forward,1.063958
