split,participant,sequence_id,endpoint_row,endpoint_timestamp_ns,future_target_timestamp_ns,receiving_hand,reason
train,Berat,Berat_10_20260616_142950,939,1074379011000,1075379011000.0,right,valid
train,Berat,Berat_10_20260616_142950,949,1074712345000,1075712345000.0,right,valid
train,Berat,Berat_10_20260616_142950,959,1075045678000,1076045678000.0,right,valid
train,Berat,Berat_10_20260616_142950,969,1075379011000,1076379011000.0,right,valid
train,Berat,Berat_10_20260616_142950,979,1075712345000,1076712345000.0,right,valid
train,Berat,Berat_10_20260616_142950,989,1076045678000,1077045678000.0,right,valid
train,Berat,Berat_10_20260616_142950,999,1076379011000,1077379011000.0,right,valid
train,Berat,Berat_10_20260616_142950,1009,1076712345000,1077712344000.0,right,valid
train,Berat,Berat_10_20260616_142950,1019,1077045678000,1078045678000.0,right,valid
train,Berat,Berat_10_20260616_142950,1029,1077379011000,1078379011000.0,right,valid
train,Berat,Berat_10_20260616_142950,1039,1077712344000,1078712344000.0,right,valid
train,Berat,Berat_10_20260616_142950,1049,1078045678000,1079045678000.0,right,valid
train,Berat,Berat_10_20260616_142950,1059,1078379011000,1079379011000.0,right,valid
train,Berat,Berat_10_20260616_142950,1069,1078712344000,1079712344000.0,right,valid
train,Berat,Berat_10_20260616_142950,1079,1079045678000,1080045677000.0,right,valid
train,Berat,Berat_10_20260616_142950,1089,1079379011000,1080379011000.0,right,valid
train,Berat,Berat_10_20260616_142950,1099,1079712344000,,right,future_after_recording_end
train,Berat,Berat_10_20260616_142950,1109,1080045677000,,right,future_after_recording_end
train,Berat,Berat_10_20260616_142950,1119,1080379011000,,right,future_after_recording_end
train,Berat,Berat_1_20260604_154611,1019,2867412292000,2868412292000.0,right,valid
train,Berat,Berat_1_20260604_154611,1029,2867745625000,2868745625000.0,right,valid
train,Berat,Berat_1_20260604_154611,1039,2868078958000,2869078958000.0,right,valid
train,Berat,Berat_1_20260604_154611,1049,2868412292000,2869412292000.0,right,valid
train,Berat,Berat_1_20260604_154611,1059,2868745625000,2869745625000.0,right,valid
train,Berat,Berat_1_20260604_154611,1069,2869078958000,2870078958000.0,right,valid
train,Berat,Berat_1_20260604_154611,1079,2869412292000,2870412292000.0,right,valid
train,Berat,Berat_1_20260604_154611,1089,2869745625000,2870745625000.0,right,valid
train,Berat,Berat_1_20260604_154611,1099,2870078958000,2871078958000.0,right,valid
train,Berat,Berat_1_20260604_154611,1109,2870412292000,2871412292000.0,right,valid
train,Berat,Berat_1_20260604_154611,1119,2870745625000,,right,future_after_recording_end
train,Berat,Berat_1_20260604_154611,1129,2871078958000,,right,future_after_recording_end
train,Berat,Berat_1_20260604_154611,1139,2871412292000,,right,future_after_recording_end
train,Berat,Berat_3_20260604_154928,959,3061512290000,3062512290000.0,right,valid
train,Berat,Berat_3_20260604_154928,969,3061845623000,3062845623000.0,right,valid
train,Berat,Berat_3_20260604_154928,979,3062178956000,3063178956000.0,right,valid
train,Berat,Berat_3_20260604_154928,989,3062512290000,3063512290000.0,right,valid
train,Berat,Berat_3_20260604_154928,999,3062845623000,3063845623000.0,right,valid
train,Berat,Berat_3_20260604_154928,1009,3063178956000,3064178956000.0,right,valid
train,Berat,Berat_3_20260604_154928,1019,3063512290000,3064512289000.0,right,valid
train,Berat,Berat_3_20260604_154928,1029,3063845623000,3064845623000.0,right,valid
train,Berat,Berat_3_20260604_154928,1039,3064178956000,3065178956000.0,right,valid
train,Berat,Berat_3_20260604_154928,1049,3064512289000,3065512289000.0,right,valid
train,Berat,Berat_3_20260604_154928,1059,3064845623000,3065845623000.0,right,valid
train,Berat,Berat_3_20260604_154928,1069,3065178956000,,right,future_after_recording_end
train,Berat,Berat_3_20260604_154928,1079,3065512289000,,right,future_after_recording_end
train,Berat,Berat_3_20260604_154928,1089,3065845623000,,right,future_after_recording_end
train,Berat,Berat_4_20260604_155100,1019,3154978956000,3155978956000.0,right,valid
train,Berat,Berat_4_20260604_155100,1029,3155312289000,3156312289000.0,right,valid
train,Berat,Berat_4_20260604_155100,1039,3155645622000,3156645622000.0,right,valid
train,Berat,Berat_4_20260604_155100,1049,3155978956000,3156978956000.0,right,valid
train,Berat,Berat_4_20260604_155100,1059,3156312289000,3157312289000.0,right,valid
train,Berat,Berat_4_20260604_155100,1069,3156645622000,3157645622000.0,right,valid
train,Berat,Berat_4_20260604_155100,1079,3156978956000,3157978956000.0,right,valid
train,Berat,Berat_4_20260604_155100,1089,3157312289000,3158312289000.0,right,valid
train,Berat,Berat_4_20260604_155100,1099,3157645622000,3158645622000.0,right,valid
train,Berat,Berat_4_20260604_155100,1109,3157978956000,3158978955000.0,right,valid
train,Berat,Berat_4_20260604_155100,1119,3158312289000,,right,future_after_recording_end
train,Berat,Berat_4_20260604_155100,1129,3158645622000,,right,future_after_recording_end
train,Berat,Berat_4_20260604_155100,1139,3158978955000,,right,future_after_recording_end
train,Berat,Berat_5_20260604_155234,1329,3259078954000,3260078954000.0,right,valid
train,Berat,Berat_5_20260604_155234,1339,3259412287000,3260412287000.0,right,valid
train,Berat,Berat_5_20260604_155234,1349,3259745621000,3260745620000.0,right,valid
train,Berat,Berat_5_20260604_155234,1359,3260078954000,3261078954000.0,right,valid
train,Berat,Berat_5_20260604_155234,1369,3260412287000,3261412287000.0,right,valid
train,Berat,Berat_5_20260604_155234,1379,3260745620000,3261745620000.0,right,valid
train,Berat,Berat_5_20260604_155234,1389,3261078954000,3262078954000.0,right,valid
train,Berat,Berat_5_20260604_155234,1399,3261412287000,3262412287000.0,right,valid
train,Berat,Berat_5_20260604_155234,1409,3261745620000,3262745620000.0,right,valid
train,Berat,Berat_5_20260604_155234,1419,3262078954000,3263078953000.0,right,future_hand_tracking_invalid
train,Berat,Berat_5_20260604_155234,1429,3262412287000,,right,future_after_recording_end
